,INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO,geocode_result
245,128223-9,R  ALBERTO FERREIRA 564  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,CHILDFUND BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '564', 'short_name': '564', 'types': ['street_number']}, {'long_name': 'Rua Alberto Ferreira', 'short_name': 'R. Alberto Ferreira', 'types': ['route']}, {'long_name': 'Jardim Iracema', 'short_name': 'Jardim Iracema', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60341-140', 'short_name': '60341-140', 'types': ['postal_code']}], 'formatted_address': 'R. Alberto Ferreira, 564 - Jardim Iracema, Fortaleza - CE, 60341-140, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7217459, 'lng': -38.5832912}, 'southwest': {'lat': -3.7224447, 'lng': -38.5835822}}, 'location': {'lat': -3.722116, 'lng': -38.5834361}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.720746319708498, 'lng': -38.5820877197085}, 'southwest': {'lat': -3.723444280291503, 'lng': -38.5847856802915}}}, 'place_id': 'ChIJc5-ZQDpKxwcRRo47vs9etKs', 'types': ['premise']}]"
246,44459-6,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '171', 'short_name': '171', 'types': ['street_number']}, {'long_name': 'Rua Carlos Severo', 'short_name': 'R. Carlos Severo', 'types': ['route']}, {'long_name': 'Farias Brito', 'short_name': 'Farias Brito', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60011-100', 'short_name': '60011-100', 'types': ['postal_code']}], 'formatted_address': 'R. Carlos Severo, 171 - Farias Brito, Fortaleza - CE, 60011-100, Brazil', 'geometry': {'location': {'lat': -3.732496, 'lng': -38.5415923}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.731147019708498, 'lng': -38.5402433197085}, 'southwest': {'lat': -3.733844980291502, 'lng': -38.54294128029149}}}, 'place_id': 'EkdSLiBDYXJsb3MgU2V2ZXJvLCAxNzEgLSBGYXJpYXMgQnJpdG8sIEZvcnRhbGV6YSAtIENFLCA2MDAxMS0xMDAsIEJyYXppbCIbEhkKFAoSCZEcIz-nSccHEQ8vjscnSR_gEKsB', 'types': ['street_address']}]"
247,54884-7,R DES LEITE ALBUQUERQUE 1080  ALDEOTA FORTALEZA - CE CEP:60150150,COLEGIO BATISTA SANTOS DUMONT,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1080', 'short_name': '1080', 'types': ['street_number']}, {'long_name': 'Rua Desembargador Leite Albuquerque', 'short_name': 'Rua Desembargador Leite Albuquerque', 'types': ['route']}, {'long_name': 'Aldeota', 'short_name': 'Aldeota', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60150-150', 'short_name': '60150-150', 'types': ['postal_code']}], 'formatted_address': 'Rua Desembargador Leite Albuquerque, 1080 - Aldeota, Fortaleza - CE, 60150-150, Brazil', 'geometry': {'location': {'lat': -3.7392087, 'lng': -38.49302}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.737859719708498, 'lng': -38.4916710197085}, 'southwest': {'lat': -3.740557680291502, 'lng': -38.4943689802915}}}, 'place_id': 'ChIJZQCtKIZIxwcR66PIRgOJqyY', 'types': ['establishment', 'premise']}]"
248,225967-2,R  RUI MONTE 331  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360640,COLEGIO IRMA MARIA MONTENEGRO CIMM,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '331', 'short_name': '331', 'types': ['street_number']}, {'long_name': 'Rua Rui Monte', 'short_name': 'R. Rui Monte', 'types': ['route']}, {'long_name': 'Antônio Bezerra', 'short_name': 'Antônio Bezerra', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60360-640', 'short_name': '60360-640', 'types': ['postal_code']}], 'formatted_address': 'R. Rui Monte, 331 - Antônio Bezerra, Fortaleza - CE, 60360-640, Brazil', 'geometry': {'location': {'lat': -3.7421459, 'lng': -38.5872233}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.740796919708497, 'lng': -38.58587431970849}, 'southwest': {'lat': -3.743494880291502, 'lng': -38.58857228029149}}}, 'place_id': 'ChIJ7x6b4cZLxwcRMfF8ZaS4GZ4', 'plus_code': {'compound_code': '7C57+44 Antônio Bezerra, Fortaleza - State of Ceará, Brazil', 'global_code': '69837C57+44'}, 'types': ['street_address']}]"
249,260193-1,R PDE FRANCISCO PITA 1392  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821050,COLEGIO SANTO INACIO,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1392', 'short_name': '1392', 'types': ['street_number']}, {'long_name': 'Rua Padre Francisco Pita', 'short_name': 'Rua Padre Francisco Pita', 'types': ['route']}, {'long_name': 'Jardim Das Oliveiras', 'short_name': 'Jardim Das Oliveiras', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60821-050', 'short_name': '60821-050', 'types': ['postal_code']}], 'formatted_address': 'Rua Padre Francisco Pita, 1392 - Jardim Das Oliveiras, Fortaleza - CE, 60821-050, Brazil', 'geometry': {'location': {'lat': -3.7839862, 'lng': -38.4932618}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.782637219708498, 'lng': -38.4919128197085}, 'southwest': {'lat': -3.785335180291503, 'lng': -38.4946107802915}}}, 'place_id': 'ElhSdWEgUGFkcmUgRnJhbmNpc2NvIFBpdGEsIDEzOTIgLSBKYXJkaW0gRGFzIE9saXZlaXJhcywgRm9ydGFsZXphIC0gQ0UsIDYwODIxLTA1MCwgQnJhemlsIhsSGQoUChIJzVXYDl1PxwcRGBQAcIFcuFEQ8Ao', 'types': ['street_address']}]"
250,426169-0,R  MATOS VASCONCELLOS 1591  BELA VISTA FORTALEZA - CE CEP:60442103,COMBONIANOS NORDESTE,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1591', 'short_name': '1591', 'types': ['street_number']}, {'long_name': 'Rua Matos Vasconcelos', 'short_name': 'R. Matos Vasconcelos', 'types': ['route']}, {'long_name': 'Damas', 'short_name': 'Damas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60426-105', 'short_name': '60426-105', 'types': ['postal_code']}], 'formatted_address': 'R. Matos Vasconcelos, 1591 - Damas, Fortaleza - CE, 60426-105, Brazil', 'geometry': {'location': {'lat': -3.7573071, 'lng': -38.5558594}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.755958119708497, 'lng': -38.5545104197085}, 'southwest': {'lat': -3.758656080291502, 'lng': -38.5572083802915}}}, 'place_id': 'ChIJvZqcf09JxwcRQJtOgZJFGc4', 'plus_code': {'compound_code': '6CVV+3M Damas, Fortaleza - CE, Brazil', 'global_code': '69836CVV+3M'}, 'types': ['street_address']}]"
251,30710-6,R  NUNES VALENTE 2160  DIONÍSIO TORRES FORTALEZA - CE CEP:60125071,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '2160', 'short_name': '2160', 'types': ['street_number']}, {'long_name': 'Rua Nunes Valente', 'short_name': 'R. Nunes Valente', 'types': ['route']}, {'long_name': 'Dionísio Torres', 'short_name': 'Dionísio Torres', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60125-071', 'short_name': '60125-071', 'types': ['postal_code']}], 'formatted_address': 'R. Nunes Valente, 2160 - Dionísio Torres, Fortaleza - CE, 60125-071, Brazil', 'geometry': {'location': {'lat': -3.743344, 'lng': -38.5061239}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.741995019708498, 'lng': -38.5047749197085}, 'southwest': {'lat': -3.744692980291502, 'lng': -38.50747288029149}}}, 'place_id': 'ChIJcS4Nq_JIxwcRx3AOv7vL2xs', 'plus_code': {'compound_code': '7F4V+MH Dionísio Torres, Fortaleza - State of Ceará, Brazil', 'global_code': '69837F4V+MH'}, 'types': ['street_address']}]"
252,802169-4,R  MARIA TOMASIA 72  B ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '72', 'short_name': '72', 'types': ['street_number']}, {'long_name': 'Rua Maria Tomásia', 'short_name': 'R. Maria Tomásia', 'types': ['route']}, {'long_name': 'Aldeota', 'short_name': 'Aldeota', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60150-170', 'short_name': '60150-170', 'types': ['postal_code']}], 'formatted_address': 'R. Maria Tomásia, 72 - Aldeota, Fortaleza - CE, 60150-170, Brazil', 'geometry': {'location': {'lat': -3.7343748, 'lng': -38.5013508}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.733025819708498, 'lng': -38.5000018197085}, 'southwest': {'lat': -3.735723780291503, 'lng': -38.5026997802915}}}, 'place_id': 'ChIJEckLjmFIxwcRq0NBVi-Dqmk', 'plus_code': {'compound_code': '7F8X+7F Aldeota, Fortaleza - State of Ceará, Brazil', 'global_code': '69837F8X+7F'}, 'types': ['street_address']}]"
253,19908-7,R  MARIA TOMASIA 72  ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '72', 'short_name': '72', 'types': ['street_number']}, {'long_name': 'Rua Maria Tomásia', 'short_name': 'R. Maria Tomásia', 'types': ['route']}, {'long_name': 'Aldeota', 'short_name': 'Aldeota', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60150-170', 'short_name': '60150-170', 'types': ['postal_code']}], 'formatted_address': 'R. Maria Tomásia, 72 - Aldeota, Fortaleza - CE, 60150-170, Brazil', 'geometry': {'location': {'lat': -3.7343748, 'lng': -38.5013508}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.733025819708498, 'lng': -38.5000018197085}, 'southwest': {'lat': -3.735723780291503, 'lng': -38.5026997802915}}}, 'place_id': 'ChIJEckLjmFIxwcRq0NBVi-Dqmk', 'plus_code': {'compound_code': '7F8X+7F Aldeota, Fortaleza - State of Ceará, Brazil', 'global_code': '69837F8X+7F'}, 'types': ['street_address']}]"
254,802168-6,R  MARIA TOMASIA 72  A ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '72', 'short_name': '72', 'types': ['street_number']}, {'long_name': 'Rua Maria Tomásia', 'short_name': 'R. Maria Tomásia', 'types': ['route']}, {'long_name': 'Aldeota', 'short_name': 'Aldeota', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60150-170', 'short_name': '60150-170', 'types': ['postal_code']}], 'formatted_address': 'R. Maria Tomásia, 72 - Aldeota, Fortaleza - CE, 60150-170, Brazil', 'geometry': {'location': {'lat': -3.7343748, 'lng': -38.5013508}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.733025819708498, 'lng': -38.5000018197085}, 'southwest': {'lat': -3.735723780291503, 'lng': -38.5026997802915}}}, 'place_id': 'ChIJEckLjmFIxwcRq0NBVi-Dqmk', 'plus_code': {'compound_code': '7F8X+7F Aldeota, Fortaleza - State of Ceará, Brazil', 'global_code': '69837F8X+7F'}, 'types': ['street_address']}]"
255,197900-0,R  LUIS DE CASTRO 390  BONSUCESSO FORTALEZA - CE CEP:60520485,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '390', 'short_name': '390', 'types': ['street_number']}, {'long_name': 'Rua Luís de Castro', 'short_name': 'R. Luís de Castro', 'types': ['route']}, {'long_name': 'Bonsucesso', 'short_name': 'Bonsucesso', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60520-485', 'short_name': '60520-485', 'types': ['postal_code']}], 'formatted_address': 'R. Luís de Castro, 390 - Bonsucesso, Fortaleza - CE, 60520-485, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7776801, 'lng': -38.5785449}, 'southwest': {'lat': -3.777854799999999, 'lng': -38.5787525}}, 'location': {'lat': -3.7777652, 'lng': -38.5786588}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.776418469708498, 'lng': -38.5772997197085}, 'southwest': {'lat': -3.779116430291502, 'lng': -38.5799976802915}}}, 'place_id': 'ChIJN7whxBlMxwcRChjjCjlFhN4', 'types': ['premise']}]"
256,700043-0,R  HONORINO MAIA 77  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,COMUNIDADE CRISTA PEDRA ANGULAR,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '77', 'short_name': '77', 'types': ['street_number']}, {'long_name': 'Rua Honorino Maia', 'short_name': 'R. Honorino Maia', 'types': ['route']}, {'long_name': 'Ancuri', 'short_name': 'Ancuri', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60873-000', 'short_name': '60873-000', 'types': ['postal_code']}], 'formatted_address': 'R. Honorino Maia, 77 - Ancuri, Fortaleza - CE, 60873-000, Brazil', 'geometry': {'location': {'lat': -3.8505323, 'lng': -38.5014146}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.849183319708498, 'lng': -38.5000656197085}, 'southwest': {'lat': -3.851881280291503, 'lng': -38.50276358029149}}}, 'partial_match': True, 'place_id': 'ChIJLxq1QmtQxwcR4wggXCNlAyk', 'plus_code': {'compound_code': '4FXX+QC Ancuri, Fortaleza - CE, Brazil', 'global_code': '69834FXX+QC'}, 'types': ['street_address']}]"
257,180117-1,R CAP ARAGAO 427  ALTO DA BALANÇA FORTALEZA - CE CEP:60851150,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '427', 'short_name': '427', 'types': ['street_number']}, {'long_name': 'Rua Capitão Aragão', 'short_name': 'Rua Capitão Aragão', 'types': ['route']}, {'long_name': 'Aerolândia', 'short_name': 'Aerolândia', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60851-150', 'short_name': '60851-150', 'types': ['postal_code']}], 'formatted_address': 'Rua Capitão Aragão, 427 - Aerolândia, Fortaleza - CE, 60851-150, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7647931, 'lng': -38.5144144}, 'southwest': {'lat': -3.765052399999999, 'lng': -38.5145366}}, 'location': {'lat': -3.7649593, 'lng': -38.5144916}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.763573769708497, 'lng': -38.5131265197085}, 'southwest': {'lat': -3.766271730291502, 'lng': -38.51582448029149}}}, 'place_id': 'ChIJn1wisM1IxwcR1oeb0ha_QyE', 'types': ['premise']}]"
258,676591-2,AV  EDILSON BRASIL SOARES 1181  PARQUE MANIBURA FORTALEZA - CE CEP:60834005,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1181', 'short_name': '1181', 'types': ['street_number']}, {'long_name': 'Avenida Edilson Brasil Soares', 'short_name': 'Av. Edilson Brasil Soares', 'types': ['route']}, {'long_name': 'Edson Queiroz', 'short_name': 'Edson Queiroz', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60834-005', 'short_name': '60834-005', 'types': ['postal_code']}], 'formatted_address': 'Av. Edilson Brasil Soares, 1181 - Edson Queiroz, Fortaleza - CE, 60834-005, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7887376, 'lng': -38.4756102}, 'southwest': {'lat': -3.7888689, 'lng': -38.4757281}}, 'location': {'lat': -3.7888177, 'lng': -38.4756902}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.787454269708498, 'lng': -38.4743201697085}, 'southwest': {'lat': -3.790152230291503, 'lng': -38.4770181302915}}}, 'place_id': 'ChIJrSgelY1FxwcRaVN_gv3WaQk', 'types': ['premise']}]"
259,50771-7,R MAJ FACUNDO 1621  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60025101,CONFERENCIA DOS RELIGIOSOS DO BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1621', 'short_name': '1621', 'types': ['street_number']}, {'long_name': 'Rua Major Facundo', 'short_name': 'R. Major Facundo', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60025-101', 'short_name': '60025-101', 'types': ['postal_code']}], 'formatted_address': 'R. Major Facundo, 1621 - Centro, Fortaleza - CE, 60025-101, Brazil', 'geometry': {'location': {'lat': -3.7371051, 'lng': -38.5308552}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.735756119708498, 'lng': -38.5295062197085}, 'southwest': {'lat': -3.738454080291502, 'lng': -38.5322041802915}}}, 'place_id': 'ChIJu2IUFQFJxwcRFcy-zOq47ZA', 'plus_code': {'compound_code': '7F79+5M Centro, Fortaleza - State of Ceará, Brazil', 'global_code': '69837F79+5M'}, 'types': ['street_address']}]"
260,48403-2,AV  FELINO BARROSO 405  FÁTIMA FORTALEZA - CE CEP:60050130,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '405', 'short_name': '405', 'types': ['street_number']}, {'long_name': 'Rua Felino Barroso', 'short_name': 'Rua Felino Barroso', 'types': ['route']}, {'long_name': 'Fátima', 'short_name': 'Fátima', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60050-130', 'short_name': '60050-130', 'types': ['postal_code']}], 'formatted_address': 'Rua Felino Barroso, 405 - Fátima, Fortaleza - CE, 60050-130, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7460282, 'lng': -38.527969}, 'southwest': {'lat': -3.7462317, 'lng': -38.5281718}}, 'location': {'lat': -3.7461725, 'lng': -38.5280564}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.744780969708497, 'lng': -38.5267214197085}, 'southwest': {'lat': -3.747478930291502, 'lng': -38.5294193802915}}}, 'place_id': 'ChIJcxLA5h1JxwcRT3bHOyxy11E', 'types': ['premise']}]"
261,319284-9,R  DAS PEDRINHAS (GENIBAU) 1211  GENIBAÚ FORTALEZA - CE CEP:60534030,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1211', 'short_name': '1211', 'types': ['street_number']}, {'long_name': 'Rua das Pedrinhas', 'short_name': 'Rua das Pedrinhas', 'types': ['route']}, {'long_name': 'Genibaú', 'short_name': 'Genibaú', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60534-030', 'short_name': '60534-030', 'types': ['postal_code']}], 'formatted_address': 'Rua das Pedrinhas, 1211 - Genibaú, Fortaleza - CE, 60534-030, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7581122, 'lng': -38.5994837}, 'southwest': {'lat': -3.7582333, 'lng': -38.5997038}}, 'location': {'lat': -3.7581727, 'lng': -38.5995937}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.756823769708497, 'lng': -38.5982447697085}, 'southwest': {'lat': -3.759521730291502, 'lng': -38.6009427302915}}}, 'place_id': 'ChIJKUTvQ49LxwcREC1d1kRWMeo', 'types': ['premise']}]"
262,188822-6,R  ANTONIO IVO 1438  JOÃO XXIII FORTALEZA - CE CEP:60525280,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1438', 'short_name': '1438', 'types': ['street_number']}, {'long_name': 'Rua Antônio Ivo', 'short_name': 'R. Antônio Ivo', 'types': ['route']}, {'long_name': 'João XXIII', 'short_name': 'João XXIII', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60534-820', 'short_name': '60534-820', 'types': ['postal_code']}], 'formatted_address': 'R. Antônio Ivo, 1438 - João XXIII, Fortaleza - CE, 60534-820, Brazil', 'geometry': {'location': {'lat': -3.7684652, 'lng': -38.5858054}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.767116219708497, 'lng': -38.5844564197085}, 'southwest': {'lat': -3.769814180291502, 'lng': -38.58715438029149}}}, 'place_id': 'EjtSLiBBbnTDtG5pbyBJdm8sIDE0MzggLSBKb8OjbyBYWElJSSwgRm9ydGFsZXphIC0gQ0UsIEJyYXppbCIbEhkKFAoSCQ8I_wUMTMcHERN-28aHCNoAEJ4L', 'types': ['street_address']}]"
263,177418-2,R TEN WILSON 179  A ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '179', 'short_name': '179', 'types': ['street_number']}, {'long_name': 'Rua Tenente Wilson', 'short_name': 'Rua Tenente Wilson', 'types': ['route']}, {'long_name': 'Aerolândia', 'short_name': 'Aerolândia', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60850-810', 'short_name': '60850-810', 'types': ['postal_code']}], 'formatted_address': 'Rua Tenente Wilson, 179 - Aerolândia, Fortaleza - CE, 60850-810, Brazil', 'geometry': {'location': {'lat': -3.7696462, 'lng': -38.5154556}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.768297219708498, 'lng': -38.51410661970849}, 'southwest': {'lat': -3.770995180291503, 'lng': -38.51680458029149}}}, 'place_id': 'ChIJecsUYTJPxwcRcZF6nw0emAg', 'plus_code': {'compound_code': '6FJM+4R Aerolândia, Fortaleza - CE, Brazil', 'global_code': '69836FJM+4R'}, 'types': ['street_address']}]"
