,CNPJ_basico,razao_social,Data início_atividade,Situação Cadastral,Data início_atividade,porte_da_empresa,End_comp,lat,lng,bairro_name,bairro_GID
13,42204049,IGREJA BATISTA DA LAGOINHA EM FORTALEZA,20210604.0,2.0,20210604.0,5.0,"RUA JOAO CARVALHO, 772, , ALDEOTA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7387264,-38.5051526,Aldeota,2
14,42276777,IGREJA ASSEMBLEIA DE DEUS PENTECOSTAL DEUS E PODER,20210210.0,2.0,20210210.0,5.0,"RUA DA COPAIBA, 438, , JARDIM DAS OLIVEIRAS, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7826415,-38.507731,Jardim das Oliveiras,62
15,42342825,IGREJA ASSEMBLEIA DE DEUS O SENHOR PROVERA,20210527.0,2.0,20210527.0,5.0,"RUA CEARA, 1421, , PICI, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7564422,-38.5699036,Pici,106
16,42370071,IGREJA CRISTA CAMINHO DA VITORIA,20210617.0,2.0,20210617.0,5.0,"AVENIDA DO IMPERADOR, 260, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.723615999999999,-38.533378,Centro,10
17,43208040,IGREJA PENTECOSTAL DEUS E AMOR,20120816.0,2.0,20120816.0,5.0,"RUA 870, 66, , CONJUNTO CEARA, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7680115,-38.5976426,Conjunto Ceará I,42
18,43208040,IGREJA PENTECOSTAL DEUS E AMOR,20161229.0,2.0,20161229.0,5.0,"AVENIDA MONTE PASCOAL, 148, LOTE  39 E 40, CANINDEZINHO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.8044353,-38.6005623,Canindezinho,74
19,43208040,IGREJA PENTECOSTAL DEUS E AMOR,20191107.0,2.0,20191107.0,5.0,"RUA TERESA CRISTINA, 950, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7327177,-38.5269947,Centro,10
20,43208040,IGREJA PENTECOSTAL DEUS E AMOR,20081201.0,2.0,20081201.0,5.0,"RUA TERESA CRISTINA, 946, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7327177,-38.5269947,Centro,10
21,43208040,IGREJA PENTECOSTAL DEUS E AMOR,19840509.0,8.0,19840509.0,5.0,"RUA TEREZA CRISTINA, 946, , CENTRO, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7288073,-38.5374127,Centro,10
22,44074011,SUKYO MAHIKARI DO BRASIL,20000731.0,2.0,20000731.0,5.0,"RUA SILVA PAULET, 2797, , DIONISIO TORRES, 170     60750350.0
191     60851220.0
364     60521102.0
366     60813730.0
433     60341515.0
           ...    
1246    60184180.0
1247    60721340.0
1248    60455472.0
1249    60843020.0
1250    60120002.0
Name: CEP, Length: 2728, dtype: float64, Fortaleza - CE",-3.7486571,-38.50985310000001,Dionísio Torres,14
