,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
23,99474-0,ARQUIDIOCESE DE FORTALEZA,AV  DAS GRAVIOLAS 175  A CIDADE 2000 FORTALEZA - CE CEP:60190600,Católica Apostólica Romana,-3.7518745,-38.4737041,Cidade 2000,Cidade 2000,111
24,112449-8,ARQUIDIOCESE DE FORTALEZA,R  BARRA VERMELHA   SN GRANJA LISBOA FORTALEZA - CE CEP:60540472,Católica Apostólica Romana,-3.7855545,-38.6141394,Granja Lisboa,Granja Lisboa,78
25,191861-3,ARQUIDIOCESE DE FORTALEZA,R PRO MIRAMAR DA PONTE 150  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,Católica Apostólica Romana,-3.7606194,-38.5851776,Não identificado,Henrique Jorge,45
26,283188-0,ARQUIDIOCESE DE FORTALEZA,AV  JUSCELINO KUBITSCHEK   SN-1 PASSARÉ FORTALEZA - CE CEP:60861635,Católica Apostólica Romana,-3.8097291,-38.52679330000001,Passaré,Passaré,88
27,3130-5,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
28,18595-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 339  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7271946,-38.5205843,Centro,Centro,10
29,191742-0,ARQUIDIOCESE DE FORTALEZA,R PRO PAULO LOPES 122  HENRIQUE JORGE FORTALEZA - CE CEP:60510395,Católica Apostólica Romana,-3.7579638,-38.5831437,Henrique Jorge,Henrique Jorge,45
30,63469-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7240253,-38.5194377,Centro,Centro,10
31,156810-8,ARQUIDIOCESE DE FORTALEZA,AV TEN LISBOA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60310240,Católica Apostólica Romana,-3.7329888,-38.5880209,Antônio Bezerra,Olavo Oliveira,119
32,221869-0,ARQUIDIOCESE DE FORTALEZA,R DR FERNANDO AUGUSTO   GRANJA LISBOA FORTALEZA - CE CEP:60540265,Católica Apostólica Romana,-3.7900146,-38.6123975,Granja Lisboa,Granja Lisboa,78
33,70997-2,ARQUIDIOCESE DE FORTALEZA,AV DUQ DE CAXIAS   SN CENTRO FORTALEZA - CE CEP:60035110,Católica Apostólica Romana,-3.7321004,-38.5296408,Centro,Centro,10
34,102275-0,ARQUIDIOCESE DE FORTALEZA,R SEN ROBERT KENNEDY 641  BARRA DO CEARÁ FORTALEZA - CE CEP:60332170,Católica Apostólica Romana,-3.705982999999999,-38.579921,Barra do Ceará,Barra do Ceará,6
35,163559-0,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 904  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7533348,-38.5525215,Damas,Damas,13
36,166600-2,ARQUIDIOCESE DE FORTALEZA,R CON DE CASTRO   SN PARANGABA FORTALEZA - CE CEP:60720095,Católica Apostólica Romana,-3.788065,-38.5762565,Vila Peri,Vila Peri,108
37,129834-8,ARQUIDIOCESE DE FORTALEZA,R  ALBERTO FERREIRA 230  IGREJA JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Católica Apostólica Romana,-3.7207074,-38.5833768,Jardim Iracema,Jardim Iracema,21
38,163554-9,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 872  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7530926,-38.5523379,Damas,Damas,13
39,295231-9,ARQUIDIOCESE DE FORTALEZA,AV  ALBERTO CRAVEIRO   VAGO BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60860005,Católica Apostólica Romana,-3.801471899999999,-38.519528,Castelão,Boa Vista/Castelão,95
40,21224-5,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 15  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.725264699999999,-38.4991237,Meireles,Meireles,24
41,147513-4,ARQUIDIOCESE DE FORTALEZA,R PRO LINO ENCARNACAO   SN AMADEU FURTADO FORTALEZA - CE CEP:60450235,Católica Apostólica Romana,-3.7444399,-38.5600819,Amadeu Furtado,Amadeu Furtado,4
42,205655-0,ARQUIDIOCESE DE FORTALEZA,R  PERDIGAO DE OLIVEIRA 1138  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Católica Apostólica Romana,-3.773913,-38.5793513,Jóquei Clube,Jóquei Clube,101
43,68899-1,ARQUIDIOCESE DE FORTALEZA,AV  FILOMENO GOMES   SN MOURA BRASIL FORTALEZA - CE CEP:60010280,Católica Apostólica Romana,-3.7193414,-38.5414654,Moura Brasil,Centro,10
44,261744-7,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO ROCHA  EDIFICIO IGREJA JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821140,Católica Apostólica Romana,-3.7778961,-38.4989637,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
45,3129-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
46,30120-5,ARQUIDIOCESE DE FORTALEZA,AV  13 DE MAIO   SN FÁTIMA FORTALEZA - CE CEP:60040530,Católica Apostólica Romana,-3.750993999999999,-38.527244,Fátima,Fátima,16
47,1738-8,ARQUIDIOCESE DE FORTALEZA,R COS VIEIRA DA SILVA 349  PARQUELÂNDIA FORTALEZA - CE CEP:60450305,Católica Apostólica Romana,-3.7367432,-38.55471989999999,Parquelândia,Parquelândia,29
48,171409-0,ARQUIDIOCESE DE FORTALEZA,AV  BEIRA MAR 4600  MUCURIPE FORTALEZA - CE CEP:60165121,Católica Apostólica Romana,-3.722291,-38.480332,Meireles,Mucuripe,26
49,62875-1,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO AUGUSTO 679  MEIRELES FORTALEZA - CE CEP:60110370,Católica Apostólica Romana,-3.7265497,-38.5121346,Meireles,Meireles,24
50,3132-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.7339469,-38.5552687,São Gerardo,Parquelândia,29
51,73939-1,ARQUIDIOCESE DE FORTALEZA,R COD D'EU   SN CENTRO FORTALEZA - CE CEP:60055070,Católica Apostólica Romana,-3.7257166,-38.5255143,Centro,Centro,10
52,156811-6,ARQUIDIOCESE DE FORTALEZA,R  RIO ARAGUAIA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60340000,Católica Apostólica Romana,-3.7297393,-38.5822264,Jardim Iracema,Jardim Iracema,21
53,303042-3,ARQUIDIOCESE DE FORTALEZA,AV  WENEFRIDO MELO 88  MONDUBIM FORTALEZA - CE CEP:60762410,Católica Apostólica Romana,-3.8090629,-38.5778905,Mondubim,Mondubim,83
54,16438-0,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7420931,-38.5405526,Benfica,Benfica,7
55,232665-5,ARQUIDIOCESE DE FORTALEZA,AV  AUDIZIO PINHEIRO   SN JOÃO XXIII FORTALEZA - CE CEP:60526025,Católica Apostólica Romana,-3.7665936,-38.5929898,João XXIII,Henrique Jorge,45
56,262291-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE GUILHERME DA COSTA   M.DEUS ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811300,Católica Apostólica Romana,-3.7769581,-38.48793149999999,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
57,16437-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7420931,-38.5405526,Benfica,Benfica,7
58,21911-8,ARQUIDIOCESE DE FORTALEZA,R  JOAQUIM NABUCO 176  MEIRELES FORTALEZA - CE CEP:60125120,Católica Apostólica Romana,-3.7271,-38.498635,Meireles,Meireles,24
59,163550-6,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3935  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.752752,-38.553052,Jacarecanga,Damas,13
60,86938-4,ARQUIDIOCESE DE FORTALEZA,R NSA DAS GRACAS   SN PIRAMBÚ FORTALEZA - CE CEP:60310770,Católica Apostólica Romana,-3.7098161,-38.5542883,Pirambu,Pirambu,31
61,163548-4,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3951  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.7537702,-38.5538192,Damas,Damas,13
62,163558-1,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 900  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-3.7532555,-38.5525215,Damas,Damas,13
63,544626-0,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  SL-01 AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-3.7447461,-38.5582749,Parquelândia,Amadeu Furtado,4
64,74512-0,ARQUIDIOCESE DE FORTALEZA,R SEN POMPEU 1208  CENTRO FORTALEZA - CE CEP:60025000,Católica Apostólica Romana,-3.7291763,-38.5305803,Centro,Centro,10
65,137209-2,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1264  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-3.7317603,-38.56476139999999,Álvaro Weyne,Presidente Kennedy,33
66,3128-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES 1256  SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.733699299999999,-38.5561417,Farias Brito,São Gerardo,1
67,9824-8,ARQUIDIOCESE DE FORTALEZA,R MAJ PEDRO SAMPAIO 300  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430180,Católica Apostólica Romana,-3.740917,-38.54849,Rodolfo Teófilo,Rodolfo Teófilo,34
68,73264-8,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 244  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7261932,-38.5207716,Centro,Centro,10
69,21225-3,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 509  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.729607799999999,-38.50048,Meireles,Meireles,24
70,239518-5,ARQUIDIOCESE DE FORTALEZA,R  FERNANDO F. DE MELO 840  MANOEL SÁTIRO FORTALEZA - CE CEP:60713480,Católica Apostólica Romana,-3.7978684,-38.5787441,Manuel Sátiro,Manoel Sátiro,81
71,163549-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3945  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.7537702,-38.5538192,Damas,Damas,13
72,6128-0,ARQUIDIOCESE DE FORTALEZA,R  JOSE FACANHA    VAZIO RODOLFO TEÓFILO FORTALEZA - CE CEP:60426112,Católica Apostólica Romana,-3.7528513,-38.5565159,Rodolfo Teófilo,Rodolfo Teófilo,34
73,63468-9,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-3.7240253,-38.5194377,Centro,Centro,10
74,44361-1,ARQUIDIOCESE DE FORTALEZA,R DOM JERONIMO   S/N FARIAS BRITO FORTALEZA - CE CEP:60011170,Católica Apostólica Romana,-3.73509,-38.5430832,Farias Brito,Farias Brito,15
75,60512-3,ARQUIDIOCESE DE FORTALEZA,AV  C (CONJ. PREF. JOSE WALTER) 435  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750020,Católica Apostólica Romana,-3.8287325,-38.5558816,Prefeito José Walter,Prefeito José Walter,89
76,73115-3,ARQUIDIOCESE DE FORTALEZA,R CEL FERRAZ 120  CENTRO FORTALEZA - CE CEP:60060150,Católica Apostólica Romana,-3.727761099999999,-38.5233383,Centro,Centro,10
77,67423-0,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA 1564  CENTRO FORTALEZA - CE CEP:60030141,Católica Apostólica Romana,-3.7229364,-38.5397628,Centro,Centro,10
78,65204-0,ARQUIDIOCESE DE FORTALEZA,AV ALM BARROSO 1011  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060440,Católica Apostólica Romana,-3.7199229,-38.5138807,Praia de Iracema,Praia de Iracema,32
79,137208-4,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1364  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-3.7328526,-38.56476960000001,Álvaro Weyne,Presidente Kennedy,33
80,39136-0,ARQUIDIOCESE DE FORTALEZA,R MON SALAZAR 342  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130370,Católica Apostólica Romana,-3.7564853,-38.5166858,São João do Tauape,Tauape,35
81,45338-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 1896  BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734638899999999,-38.5341505,Benfica,Benfica,7
82,78242-4,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA   SN-2 CENTRO FORTALEZA - CE CEP:60030140,Católica Apostólica Romana,-3.726534,-38.5294422,Centro,Centro,10
83,285004-4,ARQUIDIOCESE DE FORTALEZA,R PDE PEDRO DE ALENCAR 281  MESSEJANA FORTALEZA - CE CEP:60840280,Católica Apostólica Romana,-3.8302625,-38.4937148,Messejana,Messejana,65
84,582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010,Evangélicas,-3.8160988,-38.5807897,Mondubim,Mondubim,83
86,114056-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV MIN ALBUQUERQUE LIMA 270  CONJUNTO CEARÁ II FORTALEZA - CE CEP:60533694,Outras religiosidades,-3.7680032,-38.6090138,Conjunto Ceará I,Conjunto Ceará II,75
87,112272-0,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  H (CONJ. CEARA II) 2477  GRANJA LISBOA FORTALEZA - CE CEP:60533667,Outras religiosidades,-3.777261,-38.620788,Granja Lisboa,Granja Lisboa,78
88,237303-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R TEN QUEIROS 400  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360170,Outras religiosidades,-3.7447581,-38.589229,Antônio Bezerra,Antônio Bezerra,40
89,297224-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  BERNARDO MANUEL 13020  MONDUBIM FORTALEZA - CE CEP:60762704,Outras religiosidades,-3.831697,-38.56169999999999,Mondubim,Mondubim,83
90,18221-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  SANTOS DUMONT 1383  ALDEOTA FORTALEZA - CE CEP:60150161,Outras religiosidades,-3.7318528,-38.5113907,Manuel Dias Branco,Aldeota,2
91,298974-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  FRANCISCO COSTA 55  JANGURUSSU FORTALEZA - CE CEP:60865220,Outras religiosidades,-3.8408835,-38.5162995,Jangurussu,Jangurussu,61
92,536996-7,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R PDE PERDIGAO SAMPAIO 400  QUINTINO CUNHA FORTALEZA - CE CEP:60352350,Outras religiosidades,-3.7399487,-38.5946386,Antônio Bezerra,Antônio Bezerra,40
93,343106-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  BENTO GONCALVES 727  MANOEL SÁTIRO FORTALEZA - CE CEP:60763832,Outras religiosidades,-3.812028,-38.587414,Manoel Satiro,Novo Mondubim,120
94,47250-6,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  GUILHERME MOREIRA 317  FÁTIMA FORTALEZA - CE CEP:60040490,Outras religiosidades,-3.7502264,-38.5248946,Fátima,Fátima,16
95,281745-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  JUSCELINO KUBITSCHEK 3707  PASSARÉ FORTALEZA - CE CEP:60861635,Outras religiosidades,-3.8151736,-38.5303546,Passaré,Passaré,88
96,339998-2,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  SANTOS DUMONT 6564  COCÓ FORTALEZA - CE CEP:60192022,Outras religiosidades,-3.7441055,-38.4746121,Manuel Dias Branco,Cocó,11
97,5681-2,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  CASIMIRO MONTENEGRO 38  FARIAS BRITO FORTALEZA - CE CEP:60325720,Outras religiosidades,-3.7304204,-38.5466779,Monte Castelo,Farias Brito,15
98,178140-5,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R CAP VASCONCELOS 445  ALTO DA BALANÇA FORTALEZA - CE CEP:60851225,Outras religiosidades,-3.7660062,-38.5166466,Alto da Balança,Alto da Balança,93
99,373666-0,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  AUGUSTO DOS ANJOS 2250  BONSUCESSO FORTALEZA - CE CEP:60542164,Outras religiosidades,-3.7860674,-38.5845109,Parangaba,Bonsucesso,73
100,138644-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R TEN MARQUES 520  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,Outras religiosidades,-3.7361885,-38.5732258,Presidente Kennedy,Presidente Kennedy,33
101,419388-1,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV MAJ ASSIS 1480  JARDIM GUANABARA FORTALEZA - CE CEP:60346372,Outras religiosidades,-3.722643,-38.5916365,Vila Velha,Jardim Guanabara,20
102,220878-4,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,R  BOM JESUS 1850  BOM JARDIM FORTALEZA - CE CEP:60540255,Outras religiosidades,-3.7917149,-38.6095711,Bom Jardim,Bom Jardim,72
103,91954-3,ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,AV  PASTEUR 861  ÁLVARO WEYNE FORTALEZA - CE CEP:60335000,Outras religiosidades,-3.7137262,-38.5595977,Carlito Pamplona,Carlito Pamplona,9
104,514361-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,R PRO JOAO BOSCO 501  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430690,Outras religiosidades,-3.741256,-38.5439849,Parque Araxá,Rodolfo Teófilo,34
105,261635-1,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  ROGACIANO LEITE 2468  QD.03 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821072,Outras religiosidades,-3.777957,-38.501228,Jardim Das Oliveiras,Jardim das Oliveiras,62
106,304356-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  HONORINO MAIA 555  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,Outras religiosidades,-3.8541661,-38.5017861,Ancuri,Parque Santa Maria,102
107,107850-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1665  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,Outras religiosidades,-3.716453,-38.573666,Floresta,Álvaro Weyne,3
108,636476-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  PEDRO ESTANISLAU  LOTE 04 QUADRA 19 MESSEJANA FORTALEZA - CE CEP:60840470,Outras religiosidades,-3.8283896,-38.4830413,Messejana,Messejana,65
109,159239-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R IR BAZET 150  MONTESE FORTALEZA - CE CEP:60420670,Outras religiosidades,-3.7614068,-38.5561213,Montese,Montese,103
110,304357-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L002 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
111,18222-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R BAR DE ARACATI 1145  ALDEOTA FORTALEZA - CE CEP:60115081,Outras religiosidades,-3.7318446,-38.5114937,Aldeota,Aldeota,2
112,676041-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV FRE CIRILO 4340  MESSEJANA FORTALEZA - CE CEP:60840285,Outras religiosidades,-3.8218308,-38.4958739,Messejana,Messejana,65
113,275507-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV CNS GOMES DE FREITAS 3400  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833104,Outras religiosidades,-3.7956999,-38.4763268,Lagoa Sapiranga (Coité),Sapiranga/Coité,64
114,291441-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  GENIBAU 183  GENIBAÚ FORTALEZA - CE CEP:60534230,Outras religiosidades,-3.7613641,-38.5973636,João XXIII,Genibaú,44
115,274252-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R SAO FRANCISCO 50  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-3.8000637,-38.5981241,Autran Nunes,Bom Jardim,72
116,27937-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE AMBROSIO MACHADO 199  PARREÃO FORTALEZA - CE CEP:60410355,Outras religiosidades,-3.7619468,-38.5372486,Vila União,Parreão,30
117,304360-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030_L005 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
118,285613-1,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  WASHINGTON SOARES 8930  MESSEJANA FORTALEZA - CE CEP:60841032,Outras religiosidades,-3.8293008,-38.4825018,Edson Queiroz,Messejana,65
119,107851-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1621  IGREJA FLORESTA FORTALEZA - CE CEP:60336045,Outras religiosidades,-3.7161887,-38.5735935,Cristo Redentor,Álvaro Weyne,3
120,298617-5,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  VALPARAISO 830  JANGURUSSU FORTALEZA - CE CEP:60870440,Outras religiosidades,-3.8484077,-38.511885,Conjunto Palmeiras,Jangurussu,61
121,304355-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  ISABEL BEZERRA   Q030 L013 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873175,Outras religiosidades,-3.854419999999999,-38.5042,Santa Maria,Parque Santa Maria,102
122,304359-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L004 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
123,419126-9,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE PERDIGAO SAMPAIO   PORCA B QUINTINO CUNHA FORTALEZA - CE CEP:60351695,Outras religiosidades,-3.736281,-38.5951604,Quintino Cunha,Quintino Cunha,48
124,578777-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  BERNARDO MANUEL 11505  AEROPORTO FORTALEZA - CE CEP:60761281,Outras religiosidades,-3.8199383,-38.5575971,Parque Dois Irmãos,Parque Dois Irmãos,84
125,304358-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L003 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
126,149605-0,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 202  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7387855,-38.5686443,Parquelândia,Parquelândia,29
127,149604-2,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 180  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7384255,-38.5685168,Parquelândia,Parquelândia,29
128,149603-4,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 160  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7382774,-38.5685227,Parquelândia,Parquelândia,29
129,354729-9,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  F (LOT. CENTRO SUL) 42  PLANOURBANIZACAO-RSAOLUIZ PARANGABA FORTALEZA - CE CEP:60740155,Outras religiosidades,-3.775767,-38.5559626,Parangaba,Parangaba,105
130,347041-5,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISQUINHA PORTELA 2660  QUINTINO CUNHA FORTALEZA - CE CEP:60351840,Outras religiosidades,-3.728213499999999,-38.5994464,Quintino Cunha,Quintino Cunha,48
131,543068-2,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  AMETISTA 321  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Outras religiosidades,-3.7222424,-38.5513728,Carlito Pamplona,Carlito Pamplona,9
132,293068-4,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISCO ALMEIDA 245  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763595,Outras religiosidades,-3.8175168,-38.5909888,Conjunto Esperança,Conjunto Esperança,76
133,319738-7,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO SOLON FARIAS 509  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833172,Outras religiosidades,-3.7925517,-38.4766348,Cambeba,Sapiranga/Coité,64
134,175095-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO HERACLITO 196  VICENTE PINZON FORTALEZA - CE CEP:60181245,Outras religiosidades,-3.73135,-38.4798523,Vicente Pinzon,Vicente Pinzón,37
135,324991-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CHICO FRANCA 710  MESSEJANA FORTALEZA - CE CEP:60871100,Outras religiosidades,-3.8345771,-38.4966951,Messejana,Messejana,65
136,89249-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  DIOGUINHO 5720 OUTRO TEMPLO RELIGIOSO PRAIA DO FUTURO II FORTALEZA - CE CEP:60183706,Outras religiosidades,-3.7638491,-38.4424548,Vicente Pinzon,Praia do Futuro II,114
