inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
283188-0,ARQUIDIOCESE DE FORTALEZA,AV  JUSCELINO KUBITSCHEK   SN-1 PASSARÉ FORTALEZA - CE CEP:60861635,Católica Apostólica Romana,-38.097.291,-3.852.679.330.000.000,Passaré,Passaré,88
3130-5,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
18595-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 339  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.271.946,-385.205.843,Centro,Centro,10
191742-0,ARQUIDIOCESE DE FORTALEZA,R PRO PAULO LOPES 122  HENRIQUE JORGE FORTALEZA - CE CEP:60510395,Católica Apostólica Romana,-37.579.638,-385.831.437,Henrique Jorge,Henrique Jorge,45
63469-7,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.240.253,-385.194.377,Centro,Centro,10
156810-8,ARQUIDIOCESE DE FORTALEZA,AV TEN LISBOA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60310240,Católica Apostólica Romana,-37.329.888,-385.880.209,Antônio Bezerra,Olavo Oliveira,119
221869-0,ARQUIDIOCESE DE FORTALEZA,R DR FERNANDO AUGUSTO   GRANJA LISBOA FORTALEZA - CE CEP:60540265,Católica Apostólica Romana,-37.900.146,-386.123.975,Granja Lisboa,Granja Lisboa,78
70997-2,ARQUIDIOCESE DE FORTALEZA,AV DUQ DE CAXIAS   SN CENTRO FORTALEZA - CE CEP:60035110,Católica Apostólica Romana,-37.321.004,-385.296.408,Centro,Centro,10
102275-0,ARQUIDIOCESE DE FORTALEZA,R SEN ROBERT KENNEDY 641  BARRA DO CEARÁ FORTALEZA - CE CEP:60332170,Católica Apostólica Romana,-3.705.982.999.999.990,-38.579.921,Barra do Ceará,Barra do Ceará,6
163559-0,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 904  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.533.348,-385.525.215,Damas,Damas,13
166600-2,ARQUIDIOCESE DE FORTALEZA,R CON DE CASTRO   SN PARANGABA FORTALEZA - CE CEP:60720095,Católica Apostólica Romana,-3.788.065,-385.762.565,Vila Peri,Vila Peri,108
129834-8,ARQUIDIOCESE DE FORTALEZA,R  ALBERTO FERREIRA 230  IGREJA JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Católica Apostólica Romana,-37.207.074,-385.833.768,Jardim Iracema,Jardim Iracema,21
163554-9,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 872  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.530.926,-385.523.379,Damas,Damas,13
295231-9,ARQUIDIOCESE DE FORTALEZA,AV  ALBERTO CRAVEIRO   VAGO BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60860005,Católica Apostólica Romana,-3.801.471.899.999.990,-38.519.528,Castelão,Boa Vista/Castelão,95
21224-5,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 15  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.725.264.699.999.990,-384.991.237,Meireles,Meireles,24
147513-4,ARQUIDIOCESE DE FORTALEZA,R PRO LINO ENCARNACAO   SN AMADEU FURTADO FORTALEZA - CE CEP:60450235,Católica Apostólica Romana,-37.444.399,-385.600.819,Amadeu Furtado,Amadeu Furtado,4
205655-0,ARQUIDIOCESE DE FORTALEZA,R  PERDIGAO DE OLIVEIRA 1138  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Católica Apostólica Romana,-3.773.913,-385.793.513,Jóquei Clube,Jóquei Clube,101
68899-1,ARQUIDIOCESE DE FORTALEZA,AV  FILOMENO GOMES   SN MOURA BRASIL FORTALEZA - CE CEP:60010280,Católica Apostólica Romana,-37.193.414,-385.414.654,Moura Brasil,Centro,10
261744-7,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO ROCHA  EDIFICIO IGREJA JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821140,Católica Apostólica Romana,-37.778.961,-384.989.637,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
3129-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
30120-5,ARQUIDIOCESE DE FORTALEZA,AV  13 DE MAIO   SN FÁTIMA FORTALEZA - CE CEP:60040530,Católica Apostólica Romana,-3.750.993.999.999.990,-38.527.244,Fátima,Fátima,16
1738-8,ARQUIDIOCESE DE FORTALEZA,R COS VIEIRA DA SILVA 349  PARQUELÂNDIA FORTALEZA - CE CEP:60450305,Católica Apostólica Romana,-37.367.432,-3.855.471.989.999.990,Parquelândia,Parquelândia,29
171409-0,ARQUIDIOCESE DE FORTALEZA,AV  BEIRA MAR 4600  MUCURIPE FORTALEZA - CE CEP:60165121,Católica Apostólica Romana,-3.722.291,-38.480.332,Meireles,Mucuripe,26
62875-1,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO AUGUSTO 679  MEIRELES FORTALEZA - CE CEP:60110370,Católica Apostólica Romana,-37.265.497,-385.121.346,Meireles,Meireles,24
3132-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
73939-1,ARQUIDIOCESE DE FORTALEZA,R COD D'EU   SN CENTRO FORTALEZA - CE CEP:60055070,Católica Apostólica Romana,-37.257.166,-385.255.143,Centro,Centro,10
156811-6,ARQUIDIOCESE DE FORTALEZA,R  RIO ARAGUAIA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60340000,Católica Apostólica Romana,-37.297.393,-385.822.264,Jardim Iracema,Jardim Iracema,21
303042-3,ARQUIDIOCESE DE FORTALEZA,AV  WENEFRIDO MELO 88  MONDUBIM FORTALEZA - CE CEP:60762410,Católica Apostólica Romana,-38.090.629,-385.778.905,Mondubim,Mondubim,83
16438-0,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-37.420.931,-385.405.526,Benfica,Benfica,7
232665-5,ARQUIDIOCESE DE FORTALEZA,AV  AUDIZIO PINHEIRO   SN JOÃO XXIII FORTALEZA - CE CEP:60526025,Católica Apostólica Romana,-37.665.936,-385.929.898,João XXIII,Henrique Jorge,45
262291-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE GUILHERME DA COSTA   M.DEUS ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811300,Católica Apostólica Romana,-37.769.581,-3.848.793.149.999.990,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
16437-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-37.420.931,-385.405.526,Benfica,Benfica,7
21911-8,ARQUIDIOCESE DE FORTALEZA,R  JOAQUIM NABUCO 176  MEIRELES FORTALEZA - CE CEP:60125120,Católica Apostólica Romana,-37.271,-38.498.635,Meireles,Meireles,24
163550-6,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3935  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.752.752,-38.553.052,Jacarecanga,Damas,13
86938-4,ARQUIDIOCESE DE FORTALEZA,R NSA DAS GRACAS   SN PIRAMBÚ FORTALEZA - CE CEP:60310770,Católica Apostólica Romana,-37.098.161,-385.542.883,Pirambu,Pirambu,31
163548-4,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3951  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-37.537.702,-385.538.192,Damas,Damas,13
163558-1,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 900  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.532.555,-385.525.215,Damas,Damas,13
544626-0,ARQUIDIOCESE DE FORTALEZA,R  NESTOR BARBOSA 315  SL-01 AMADEU FURTADO FORTALEZA - CE CEP:60455610,Católica Apostólica Romana,-37.447.461,-385.582.749,Parquelândia,Amadeu Furtado,4
74512-0,ARQUIDIOCESE DE FORTALEZA,R SEN POMPEU 1208  CENTRO FORTALEZA - CE CEP:60025000,Católica Apostólica Romana,-37.291.763,-385.305.803,Centro,Centro,10
137209-2,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1264  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-37.317.603,-3.856.476.139.999.990,Álvaro Weyne,Presidente Kennedy,33
3128-3,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES 1256  SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-3.733.699.299.999.990,-385.561.417,Farias Brito,São Gerardo,1
9824-8,ARQUIDIOCESE DE FORTALEZA,R MAJ PEDRO SAMPAIO 300  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430180,Católica Apostólica Romana,-3.740.917,-3.854.849,Rodolfo Teófilo,Rodolfo Teófilo,34
73264-8,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 244  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.261.932,-385.207.716,Centro,Centro,10
21225-3,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 509  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.729.607.799.999.990,-3.850.048,Meireles,Meireles,24
239518-5,ARQUIDIOCESE DE FORTALEZA,R  FERNANDO F. DE MELO 840  MANOEL SÁTIRO FORTALEZA - CE CEP:60713480,Católica Apostólica Romana,-37.978.684,-385.787.441,Manuel Sátiro,Manoel Sátiro,81
163549-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3945  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-37.537.702,-385.538.192,Damas,Damas,13
6128-0,ARQUIDIOCESE DE FORTALEZA,R  JOSE FACANHA    VAZIO RODOLFO TEÓFILO FORTALEZA - CE CEP:60426112,Católica Apostólica Romana,-37.528.513,-385.565.159,Rodolfo Teófilo,Rodolfo Teófilo,34
63468-9,ARQUIDIOCESE DE FORTALEZA,AV DOM MANUEL 3  CENTRO FORTALEZA - CE CEP:60060090,Católica Apostólica Romana,-37.240.253,-385.194.377,Centro,Centro,10
44361-1,ARQUIDIOCESE DE FORTALEZA,R DOM JERONIMO   S/N FARIAS BRITO FORTALEZA - CE CEP:60011170,Católica Apostólica Romana,-373.509,-385.430.832,Farias Brito,Farias Brito,15
60512-3,ARQUIDIOCESE DE FORTALEZA,AV  C (CONJ. PREF. JOSE WALTER) 435  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750020,Católica Apostólica Romana,-38.287.325,-385.558.816,Prefeito José Walter,Prefeito José Walter,89
73115-3,ARQUIDIOCESE DE FORTALEZA,R CEL FERRAZ 120  CENTRO FORTALEZA - CE CEP:60060150,Católica Apostólica Romana,-3.727.761.099.999.990,-385.233.383,Centro,Centro,10
67423-0,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA 1564  CENTRO FORTALEZA - CE CEP:60030141,Católica Apostólica Romana,-37.229.364,-385.397.628,Centro,Centro,10
65204-0,ARQUIDIOCESE DE FORTALEZA,AV ALM BARROSO 1011  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060440,Católica Apostólica Romana,-37.199.229,-385.138.807,Praia de Iracema,Praia de Iracema,32
137208-4,ARQUIDIOCESE DE FORTALEZA,AV  OLAVO BILAC 1364  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60320000,Católica Apostólica Romana,-37.328.526,-3.856.476.960.000.000,Álvaro Weyne,Presidente Kennedy,33
39136-0,ARQUIDIOCESE DE FORTALEZA,R MON SALAZAR 342  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130370,Católica Apostólica Romana,-37.564.853,-385.166.858,São João do Tauape,Tauape,35
45338-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 1896  BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734.638.899.999.990,-385.341.505,Benfica,Benfica,7
78242-4,ARQUIDIOCESE DE FORTALEZA,R  GUILHERME ROCHA   SN-2 CENTRO FORTALEZA - CE CEP:60030140,Católica Apostólica Romana,-3.726.534,-385.294.422,Centro,Centro,10
285004-4,ARQUIDIOCESE DE FORTALEZA,R PDE PEDRO DE ALENCAR 281  MESSEJANA FORTALEZA - CE CEP:60840280,Católica Apostólica Romana,-38.302.625,-384.937.148,Messejana,Messejana,65
582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010,Evangélicas,-38.160.988,-385.807.897,Mondubim,Mondubim,83
