inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
636476-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  PEDRO ESTANISLAU  LOTE 04 QUADRA 19 MESSEJANA FORTALEZA - CE CEP:60840470,Outras religiosidades,-38.283.896,-384.830.413,Messejana,Messejana,65
159239-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R IR BAZET 150  MONTESE FORTALEZA - CE CEP:60420670,Outras religiosidades,-37.614.068,-385.561.213,Montese,Montese,103
304357-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L002 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854.334,-384.990.505,Santa Maria,Parque Santa Maria,102
18222-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R BAR DE ARACATI 1145  ALDEOTA FORTALEZA - CE CEP:60115081,Outras religiosidades,-37.318.446,-385.114.937,Aldeota,Aldeota,2
676041-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV FRE CIRILO 4340  MESSEJANA FORTALEZA - CE CEP:60840285,Outras religiosidades,-38.218.308,-384.958.739,Messejana,Messejana,65
275507-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV CNS GOMES DE FREITAS 3400  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833104,Outras religiosidades,-37.956.999,-384.763.268,Lagoa Sapiranga (Coité),Sapiranga/Coité,64
291441-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  GENIBAU 183  GENIBAÚ FORTALEZA - CE CEP:60534230,Outras religiosidades,-37.613.641,-385.973.636,João XXIII,Genibaú,44
274252-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R SAO FRANCISCO 50  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-38.000.637,-385.981.241,Autran Nunes,Bom Jardim,72
27937-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE AMBROSIO MACHADO 199  PARREÃO FORTALEZA - CE CEP:60410355,Outras religiosidades,-37.619.468,-385.372.486,Vila União,Parreão,30
304360-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030_L005 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854.334,-384.990.505,Santa Maria,Parque Santa Maria,102
285613-1,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  WASHINGTON SOARES 8930  MESSEJANA FORTALEZA - CE CEP:60841032,Outras religiosidades,-38.293.008,-384.825.018,Edson Queiroz,Messejana,65
107851-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1621  IGREJA FLORESTA FORTALEZA - CE CEP:60336045,Outras religiosidades,-37.161.887,-385.735.935,Cristo Redentor,Álvaro Weyne,3
298617-5,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  VALPARAISO 830  JANGURUSSU FORTALEZA - CE CEP:60870440,Outras religiosidades,-38.484.077,-38.511.885,Conjunto Palmeiras,Jangurussu,61
304355-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  ISABEL BEZERRA   Q030 L013 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873175,Outras religiosidades,-3.854.419.999.999.990,-385.042,Santa Maria,Parque Santa Maria,102
304359-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L004 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854.334,-384.990.505,Santa Maria,Parque Santa Maria,102
419126-9,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE PERDIGAO SAMPAIO   PORCA B QUINTINO CUNHA FORTALEZA - CE CEP:60351695,Outras religiosidades,-3.736.281,-385.951.604,Quintino Cunha,Quintino Cunha,48
578777-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  BERNARDO MANUEL 11505  AEROPORTO FORTALEZA - CE CEP:60761281,Outras religiosidades,-38.199.383,-385.575.971,Parque Dois Irmãos,Parque Dois Irmãos,84
304358-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L003 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854.334,-384.990.505,Santa Maria,Parque Santa Maria,102
149605-0,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 202  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-37.387.855,-385.686.443,Parquelândia,Parquelândia,29
149604-2,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 180  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-37.384.255,-385.685.168,Parquelândia,Parquelândia,29
149603-4,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 160  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-37.382.774,-385.685.227,Parquelândia,Parquelândia,29
354729-9,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  F (LOT. CENTRO SUL) 42  PLANOURBANIZACAO-RSAOLUIZ PARANGABA FORTALEZA - CE CEP:60740155,Outras religiosidades,-3.775.767,-385.559.626,Parangaba,Parangaba,105
347041-5,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISQUINHA PORTELA 2660  QUINTINO CUNHA FORTALEZA - CE CEP:60351840,Outras religiosidades,-3.728.213.499.999.990,-385.994.464,Quintino Cunha,Quintino Cunha,48
543068-2,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  AMETISTA 321  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Outras religiosidades,-37.222.424,-385.513.728,Carlito Pamplona,Carlito Pamplona,9
293068-4,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISCO ALMEIDA 245  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763595,Outras religiosidades,-38.175.168,-385.909.888,Conjunto Esperança,Conjunto Esperança,76
319738-7,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO SOLON FARIAS 509  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833172,Outras religiosidades,-37.925.517,-384.766.348,Cambeba,Sapiranga/Coité,64
175095-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO HERACLITO 196  VICENTE PINZON FORTALEZA - CE CEP:60181245,Outras religiosidades,-373.135,-384.798.523,Vicente Pinzon,Vicente Pinzón,37
324991-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CHICO FRANCA 710  MESSEJANA FORTALEZA - CE CEP:60871100,Outras religiosidades,-38.345.771,-384.966.951,Messejana,Messejana,65
89249-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  DIOGUINHO 5720 OUTRO TEMPLO RELIGIOSO PRAIA DO FUTURO II FORTALEZA - CE CEP:60183706,Outras religiosidades,-37.638.491,-384.424.548,Vicente Pinzon,Praia do Futuro II,114
282250-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  PEDRO VERISSIMO 3536  PASSARÉ FORTALEZA - CE CEP:60861680,Outras religiosidades,-3.813.223.799.999.990,-385.284.983,Passaré,Passaré,88
293286-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RAQUEL PIRES RIBEIRO 495  MONDUBIM FORTALEZA - CE CEP:60767255,Outras religiosidades,-3.820.278,-3.857.952,Mondubim,Mondubim,83
110549-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  WALTER POMPEU 670  ÁLVARO WEYNE FORTALEZA - CE CEP:60337120,Outras religiosidades,-37.118.086,-385.683.999,Álvaro Weyne,Álvaro Weyne,3
494609-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  13 (CJ SITIO DO CORREGO) 500  BARROSO FORTALEZA - CE CEP:60863013,Outras religiosidades,-38.188.482,-385.722.435,Mondubim,Mondubim,83
500429-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  CONTORNO SUL (CONJ. SAO CRISTOVAO) 600  LTS 03. PL 4 E 5 JANGURUSSU FORTALEZA - CE CEP:60866590,Outras religiosidades,-38.376.622,-385.194.787,Jangurussu,Jangurussu,61
162116-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R FRE VICENTE SALVADOR 431  PARREÃO FORTALEZA - CE CEP:60410405,Outras religiosidades,-37.615.766,-385.406.953,Parreão,Parreão,30
38470-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CRUZ ABREU 604  TEMPLORELIGIOSO SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Outras religiosidades,-37.579.089,-385.105.413,São João do Tauape,Tauape,35
279527-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  FRANCISCO VILELA 290  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861140,Outras religiosidades,-37.977.648,-385.157.922,Boa Vista,Boa Vista/Castelão,95
239156-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R DR JOAO AMORA 528  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Outras religiosidades,-37.996.525,-385.790.689,Manuel Sátiro,Manoel Sátiro,81
119161-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RERIUTABA 1415  VILA VELHA FORTALEZA - CE CEP:60330591,Outras religiosidades,-37.157.048,-385.912.273,Vila Velha,Vila Velha,39
133881-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CARLOS CHAGAS 2595  GRANJA PORTUGAL FORTALEZA - CE CEP:60541555,Outras religiosidades,-37.750.491,-386.032.437,Granja Portugal,Granja Portugal,79
403959-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  ARACA 225  BONSUCESSO FORTALEZA - CE CEP:60545380,Outras religiosidades,-3.754.594,-385.846.919,Dom Lustosa,Dom Lustosa,43
119434-8,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO RAIMUNDO GOMES 515  VILA VELHA FORTALEZA - CE CEP:60347165,Outras religiosidades,-37.136.297,-385.929.587,Jardim Guanabara,Vila Velha,39
274413-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R SAO FRANCISCO 341  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-37.992.832,-386.004.801,Jardim Jatobá,Bom Jardim,72
319666-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV PIN ANTONIO BANDEIRA 990  VICENTE PINZON FORTALEZA - CE CEP:60182304,Outras religiosidades,-37.264.197,-384.630.985,Vicente Pinzon,Vicente Pinzón,37
253932-2,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,R  CARAMURU 269  SERRINHA FORTALEZA - CE CEP:60742175,Outras religiosidades,-37.891.102,-385.410.687,Itaperi,Serrinha,107
403886-0,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,AV PRO JOSE ARTHUR DE CARVALHO 2605  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Outras religiosidades,-38.235.991,-384.563.999,Lagoa Redonda,Lagoa Redonda,63
355023-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  SIMAO SANTOS 421  PAUPINA FORTALEZA - CE CEP:60875020,Outras religiosidades,-38.627.006,-384.932.315,São Bento,Paupina,68
602505-6,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALEXANDRE BARAUNA 80  IGREJA JARDIM AMÉRICA FORTALEZA - CE CEP:60416130,Outras religiosidades,-37.534.144,-385.453.522,Rodolfo Teófilo,Jardim América,19
366516-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALBERTO JUNIOR 79  EDSON QUEIROZ FORTALEZA - CE CEP:60811655,Outras religiosidades,-3.774.772,-384.789.553,Edson Queiroz,Edson Queiroz,57
51324-5,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JAIME BENEVOLO 875  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050081,Outras religiosidades,-37.398.909,-385.277.076,José Bonifacio,José Bonifácio,23
100348-8,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  BENTO ALBUQUERQUE 2265  COCÓ FORTALEZA - CE CEP:60192050,Outras religiosidades,-37.483.336,-384.680.299,Cocó,Cocó,11
454308-4,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JOAQUIM FELICIO 1881  GUAJERU FORTALEZA - CE CEP:60843260,Outras religiosidades,-38.317.364,-384.783.921,Guajerú,Guajeru,59
258437-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  BENJAMIM BRASIL 618  MONDUBIM FORTALEZA - CE CEP:60711442,Outras religiosidades,-38.049.575,-385.676.269,Jardim Cearense,Mondubim,83
138392-2,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ANTONIO LAFAYETTE 180  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356140,Outras religiosidades,-3.734.119.199.999.990,-385.744.964,Presidente Kennedy,Presidente Kennedy,33
177527-8,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R TEN WILSON 465  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Outras religiosidades,-37.691.051,-385.127.984,Aerolândia,Alto da Balança,93
237340-8,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  PEDRO MELO (ANTONIO BEZERRA) 757  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360220,Outras religiosidades,-37.443.284,-385.916.365,Antônio Bezerra,Antônio Bezerra,40
18965-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  NOGUEIRA ACIOLI 435  CENTRO FORTALEZA - CE CEP:60110140,Outras religiosidades,-37.276.933,-385.160.668,Centro,Centro,10
10745-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  CARVALHO MOTA 485  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430760,Outras religiosidades,-3.739.226.199.999.990,-385.442.034,Rodolfo Teófilo,Rodolfo Teófilo,34
572297-7,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  NOGUEIRA ACIOLI 349  ALTOS CENTRO FORTALEZA - CE CEP:60110140,Outras religiosidades,-3.726.978,-385.158.742,Centro,Centro,10
608312-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  L (CONJ. PREF. JOSE WALTER) 1070  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750110,Outras religiosidades,-3.833.149.999.999.990,-38.558.201,Prefeito José Walter,Prefeito José Walter,89
24555-0,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  JOAO CORDEIRO 2379  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Outras religiosidades,-3.741.309,-385.181.037,Aldeota,Joaquim Távora,22
372233-3,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ALCIDES GERARDO 700  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870200,Outras religiosidades,-38.431.052,-385.292.759,Conjunto Palmeiras,Conjunto Palmeiras,117
309320-4,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,R  ANTONIO IVO 251  HENRIQUE JORGE FORTALEZA - CE CEP:60521025,Outras religiosidades,-37.584.519,-385.802.171,Henrique Jorge,Henrique Jorge,45
234663-0,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,AV SEN FERNANDES TAVORA 2200  DOM LUSTOSA FORTALEZA - CE CEP:60526642,Outras religiosidades,-375.698,-3.859.171,Dom Lustosa,Dom Lustosa,43
251244-0,ASSOCIACAO BRASILEIRA DA IGREJA JESUS C SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 3900  SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-37.907.843,-38.539.306,Serrinha,Itaperi,100
168600-3,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  GERMANO FRANCK 567  PARANGABA FORTALEZA - CE CEP:60740020,Católica Apostólica Romana,-37.776.693,-385.614.129,Parangaba,Parangaba,105
604493-0,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,R  CAIO PRADO 100  PARANGABA FORTALEZA - CE CEP:60720040,Católica Apostólica Romana,-37.740.742,-3.856.292.029.999.990,Parangaba,Parangaba,105
329100-6,ASSOCIACAO BRASILEIRA IGREJA JESUS CISTO SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 4850  IGREJA SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-37.962.736,-385.324.786,Serrinha,Itaperi,100
259428-5,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,R CEL MANUEL ALBANO 299  Q015 MONDUBIM FORTALEZA - CE CEP:60711465,Católica Apostólica Romana,-38.072.954,-385.678.729,Mondubim,Mondubim,83
138074-5,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,R TEN MARQUES 139  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,Católica Apostólica Romana,-37.322.666,-385.734.184,Presidente Kennedy,Presidente Kennedy,33
33984-9,ASSOCIACAO DA IGREJA METODISTA,AV VIS DO RIO BRANCO 3545  JOAQUIM TÁVORA FORTALEZA - CE CEP:60055172,Evangélicas,-3.752.155.799.999.990,-385.204.227,Joaquim Távora (Fortaleza),Joaquim Távora,22
74157-4,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,AV  DO IMPERADOR 891  CENTRO FORTALEZA - CE CEP:60015051,Evangélicas,-37.291.017,-3.853.487.399.999.990,Centro,Centro,10
846620-3,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,R  PEDRO I 1120  CENTRO FORTALEZA - CE CEP:60035101,Evangélicas,-37.292.454,-38.534.502,Centro,Centro,10
254138-6,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,R MAD ELISA BALDO (EDUARDO MOTA) 771  SERRINHA FORTALEZA - CE CEP:60741450,Católica Apostólica Romana,-37.852.055,-385.469.933,Serrinha,Serrinha,107
406930-7,ASSOCIACAO DAS IRMAS MISSIONARIAS,R  ANDALUZIA 785  PEDRAS FORTALEZA - CE CEP:60874610,Católica Apostólica Romana,-38.865.409,-385.017.746,Pedras,Pedras,69
18664-3,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R  RODRIGUES JUNIOR 268  CENTRO FORTALEZA - CE CEP:60060000,Católica Apostólica Romana,-37.271.777,-385.195.792,Centro,Centro,10
67127-4,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  FRANCISCO SA 1833  C JACARECANGA FORTALEZA - CE CEP:60010450,Católica Apostólica Romana,-3.722.499,-38.542.189,Jacarecanga,Jacarecanga,18
185282-5,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  ZEZE DIOGO 1110  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Católica Apostólica Romana,-3.716.797,-384.650.723,Cais do Porto,Cais do Porto,110
270474-9,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV FRE CIRILO 4241  MESSEJANA FORTALEZA - CE CEP:60840285,Católica Apostólica Romana,-38.210.832,-384.955.386,Messejana,Messejana,65
301525-4,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R  PAULO SETUBAL 350  MESSEJANA FORTALEZA - CE CEP:60842250,Católica Apostólica Romana,-38.208.624,-384.986.966,Messejana,Messejana,65
66407-3,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,R COS ESTELITA 500  CENTRO FORTALEZA - CE CEP:60010260,Católica Apostólica Romana,-37.254.237,-385.397.581,Centro,Centro,10
185287-6,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  ZEZE DIOGO 1195  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Católica Apostólica Romana,-37.177.141,-384.642.909,Cais do Porto,Cais do Porto,110
541314-1,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,AV  DA UNIVERSIDADE 1896  A BENFICA FORTALEZA - CE CEP:60020180,Católica Apostólica Romana,-3.734.638.899.999.990,-385.341.505,Benfica,Benfica,7
53994-5,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,R CEL LINHARES 1828  ALDEOTA FORTALEZA - CE CEP:60170075,Católica Apostólica Romana,-37.427.412,-384.962.845,Dionísio Torres,Aldeota,2
15736-8,ASSOCIACAO DE ASSISTENCIA SOCIAL CATARINA LABOURE AASCL,AV  DA UNIVERSIDADE 3106  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-37.426.391,-385.411.056,Damas,Benfica,7
73116-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  VINTE E CINCO DE MARCO 330  CENTRO FORTALEZA - CE CEP:60060120,Católica Apostólica Romana,-3.727.433.399.999.990,-3.852.199.299.999.990,Centro,Centro,10
153903-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  MARTINS NETO 379  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360415,Católica Apostólica Romana,-37.405.876,-385.888.689,Antônio Bezerra,Antônio Bezerra,40
53107-3,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-37.454.787,-385.010.471,Aldeota,Dionísio Torres,14
53108-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-37.454.787,-385.010.471,Aldeota,Dionísio Torres,14
45026-0,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R PRC ISABEL 1533  FARIAS BRITO FORTALEZA - CE CEP:60015061,Católica Apostólica Romana,-37.343.865,-385.374.948,Centro,Farias Brito,15
53106-5,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,Católica Apostólica Romana,-37.454.787,-385.010.471,Aldeota,Dionísio Torres,14
102079-0,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  RIBEIRAO NOVO 125  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,Outras religiosidades,-370.614,-385.770.029,Barra do Ceará,Barra do Ceará,6
297297-2,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,AV  BERNARDO MANUEL 12750  MONDUBIM FORTALEZA - CE CEP:60762704,Outras religiosidades,-38.294.311,-385.606.458,Mondubim,Mondubim,83
367850-4,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MINAS GERAIS 300  BELA VISTA FORTALEZA - CE CEP:60441135,Outras religiosidades,-37.529.025,-385.631.195,Panamericano,Bela Vista,94
232843-7,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MACEIO 1594  HENRIQUE JORGE FORTALEZA - CE CEP:60521105,Outras religiosidades,-37.654.309,-3.859.178,Henrique Jorge,Henrique Jorge,45
683869-3,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R GAL OTAVIO DA SILVA PARANHOS 385  LOTES08.09 JARDIM IRACEMA FORTALEZA - CE CEP:60341515,Outras religiosidades,-3.721.168.099.999.990,-385.859.481,Jardim Iracema,Jardim Iracema,21
219874-6,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,R  MARTINS CARVALHO 3200  21/22 GRANJA LISBOA FORTALEZA - CE CEP:60540182,Outras religiosidades,-3.789.533.399.999.990,-386.234.425,Granja Lisboa,Granja Lisboa,78
12086-3,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-37.510.265,-385.478.379,Damas,Damas,13
12085-5,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,Católica Apostólica Romana,-37.510.265,-385.478.379,Damas,Damas,13
45305-6,ASSOCIACAO ESCOLA DA BIBLIA,AV  DA UNIVERSIDADE 1838  BENFICA FORTALEZA - CE CEP:60020180,Sem Definição,-37.343.599,-385.334.118,Benfica,Benfica,7
265015-0,ASSOCIACAO FACE DE CRISTO,R DR EDMILSON BARROS DE OLIVEIRA   SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,Católica Apostólica Romana,-37.525.191,-384.952.076,São João do Tauape,Tauape,35
264746-0,ASSOCIACAO FACE DE CRISTO,R DR EDMILSON BARROS DE OLIVEIRA 191  LOTES_1.2.3.4.5_E_6_Q006 SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,Católica Apostólica Romana,-375.366,-384.963.666,São João do Tauape,Tauape,35
284958-5,ASSOCIACAO JESUS E MARIA,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,Católica Apostólica Romana,-38.320.845,-384.920.963,Messejana,Messejana,65
600676-0,ASSOCIACAO JESUS E MARIA,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,Católica Apostólica Romana,-38.320.845,-384.920.963,Messejana,Messejana,65
169241-0,ASSOCIACAO LAR ESPIRITA MEIMEI,R  HILTON SANTOS 203  VARJOTA FORTALEZA - CE CEP:60175250,Espírita,-37.332.988,-38.485.447,Varjota,Varjota,36
735376-6,ASSOCIACAO NOVA JERUSALEM,AV PRS CASTELO BRANCO   PIRAMBÚ FORTALEZA - CE CEP:60010000,Católica Apostólica Romana,-37.125.347,-385.523.643,Pirambu,Pirambu,31
105918-1,ASSOCIACAO NOVA JERUSALEM,R  FRANCISCO CALACA 178  BARRA DO CEARÁ FORTALEZA - CE CEP:60334110,Católica Apostólica Romana,-37.034.888,-385.697.391,Cristo Redentor,Barra do Ceará,6
24562-3,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R  JOAO CORDEIRO 2343  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,Católica Apostólica Romana,-3.741.106,-38.517.994,Joaquim Távora (Fortaleza),Joaquim Távora,22
73546-9,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,R DEP JOAO LOPES 138  CENTRO FORTALEZA - CE CEP:60060130,Católica Apostólica Romana,-3.726.666,-385.224.205,Centro,Centro,10
