Razao_social/Contribuinte,Estabelecimentos / CNPJs,Inscricoes_SEFIN,base_origem
IGREJA BATISTA ALVORADA,1.0,3.0,Base_Tratada
CASA DE NAZARE,1.0,3.0,Base_Tratada
IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,1.0,3.0,Base_Tratada
PRIMEIRA IGREJA BATISTA DE FORTALEZA,1.0,3.0,Base_Tratada
1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,1.0,3.0,Base_Tratada
IGREJA BATISTA LUZ DO MUNDO,1.0,2.0,Base_Tratada
IGREJA BATISTA REGULAR FILADELFIA,1.0,2.0,Brasil IO
GRUPO ESPIRITA AVE LUZ,1.0,2.0,Base_Tratada
IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,1.0,2.0,Base_Tratada
IGREJA TENRIKYO CENTRAL DE FORTALEZA,1.0,2.0,Base_Tratada
INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,1.0,2.0,Base_Tratada
INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,1.0,2.0,Base_Tratada
IGREJA PRESBITERIANA DE FORTALEZA,1.0,2.0,Base_Tratada
IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,1.0,2.0,Receita
IGREJA CRISTA GILEADE PARANGABA,1.0,2.0,Base_Tratada
ASSOCIACAO FACE DE CRISTO,1.0,2.0,Base_Tratada
ASSOCIACAO JESUS E MARIA,1.0,2.0,Base_Tratada
ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,1.0,2.0,Brasil IO
IGREJA BATISTA ESPERANCA,1.0,1.0,Base_Tratada
IGREJA BATISTA MANANCIAL,1.0,1.0,Base_Tratada
IGREJA BATISTA EMANUEL,1.0,1.0,Base_Tratada
CENTRO ESPIRITA CASA DO CAMINHO,1.0,1.0,Base_Tratada
CENTRO ESPIRITA JOAO BATISTA,1.0,1.0,Brasil IO
IGREJA BATISTA RESTAURACAO,1.0,1.0,Base_Tratada
IGREJA BATISTA EL SHADAI,1.0,1.0,Base_Tratada
IGREJA EVANGELICA TABERNACULO DA FE,1.0,1.0,Base_Tratada
INSTITUTO BOM PASTOR,1.0,1.0,Brasil IO
IGREJA PRESBITERIANA NOVA JERUSALEM,1.0,1.0,Base_Tratada
IGREJA BATISTA BEREIANA,1.0,1.0,Base_Tratada
IGREJA BATISTA DO CORDEIRO,1.0,1.0,Base_Tratada
IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1.0,1.0,Base_Tratada
IGREJA CRISTA EVANGELICA EBENEZER,1.0,1.0,Base_Tratada
IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1.0,1.0,Base_Tratada
IGREJA BATISTA RIO JORDAO,1.0,1.0,Base_Tratada
CENTRO ESPIRITA CAMILLE FLAMMARION,1.0,1.0,Brasil IO
IGREJA CRISTA EVANGELICA EMANUEL,1.0,1.0,Base_Tratada
IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1.0,1.0,Base_Tratada
FUNDACAO BEZERRA DE MENEZES,1.0,1.0,Brasil IO
IGREJA CONGREGACIONAL PENTECOSTAL,1.0,1.0,Base_Tratada
IGREJA MESSIANICA MUNDIAL DO BRASIL,1.0,1.0,Base_Tratada
CENTRO JUVENIL DOM BOSCO,1.0,1.0,Brasil IO
CENTRO ESPIRITA LAR DOS HUMILDES,1.0,1.0,Base_Tratada
COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,1.0,1.0,Base_Tratada
IGREJA PRESBITERIANA DE MARAPONGA,1.0,1.0,Base_Tratada
ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,1.0,1.0,Base_Tratada
INSPETORIA MARIA AUXILIADORA,1.0,1.0,Base_Tratada
IGREJA PRESBITERIANA DA ALDEOTA,1.0,1.0,Brasil IO
INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,1.0,1.0,Brasil IO
ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1.0,1.0,Base_Tratada
IGREJA FUNDAMENTALISTA CRISTO E VIDA,1.0,1.0,Base_Tratada
IGREJA EVANGELICA TABERNACULO DE ADORADORES,1.0,1.0,Base_Tratada
IGREJA EVANGELICA RENOVADA DO BRASIL,1.0,1.0,Base_Tratada
IGREJA EVANGELICA BETEL PARA AS NACOES,1.0,1.0,Base_Tratada
ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,1.0,1.0,Brasil IO
CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,1.0,1.0,Base_Tratada
SOCIEDADE MAE E RAINHA,1.0,1.0,Base_Tratada
SOCIEDADE ESPIRITA CARIDADE E ESPERANCA,1.0,1.0,Base_Tratada
SEMINARIO TEOLOGICO BATISTA DO CEARA,1.0,1.0,Brasil IO
SEMINARIO E INSTITUTO BIBLICO MARANATA,1.0,1.0,Base_Tratada
ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1.0,1.0,Brasil IO
RAFAEL DIOGENES PINHEIRO,1.0,1.0,Brasil IO
PROVINCIA DE FORTALEZA DA CONGREGACAO DA MISSAO,1.0,1.0,Base_Tratada
PROVINCIA CAMILIANA BRASILEIRA,1.0,1.0,Base_Tratada
PRIMEIRA IGREJA BATISTA EM JOSE WALTER,1.0,1.0,Base_Tratada
PRIMEIRA IGREJA BATISTA EM JANGURUSSU,1.0,1.0,Base_Tratada
PAROQUIA DE SAO PEDRO E SAO PAULO,1.0,1.0,Base_Tratada
MISSAO BATISTA CONSERVADORA DO BRASIL,1.0,1.0,Brasil IO
LEGIAO ESPIRITA FEMININA,1.0,1.0,Brasil IO
LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,1.0,1.0,Base_Tratada
LECTORIUM ROSICRUCIANUM,1.0,1.0,Base_Tratada
LAR DA CRIANCA DOMINGOS SAVIO,1.0,1.0,Brasil IO
CHILDFUND BRASIL,1.0,1.0,Brasil IO
COLEGIO SANTO INACIO,1.0,1.0,Brasil IO
COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,1.0,1.0,Base_Tratada
I IGREJA BATISTA EM SAO CRISTOVAO,1.0,1.0,Base_Tratada
COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,1.0,1.0,Base_Tratada
GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1.0,1.0,Base_Tratada
GRUPO ESPIRITA BEM-VINDO A CARIDADE,1.0,1.0,Base_Tratada
COMUNIDADE CRISTA PEDRA ANGULAR,1.0,1.0,Base_Tratada
GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1.0,1.0,Base_Tratada
FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1.0,1.0,Base_Tratada
COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,1.0,1.0,Base_Tratada
ESCOLA SAO RAFAEL 1 E 2 GRAUS,1.0,1.0,Base_Tratada
