,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
33,33,70997-2,ARQUIDIOCESE DE FORTALEZA,AV DUQ DE CAXIAS   SN CENTRO FORTALEZA - CE CEP:60035110,Católica Apostólica Romana,-37.321.004,-385.296.408,Centro,Centro,10
34,34,102275-0,ARQUIDIOCESE DE FORTALEZA,R SEN ROBERT KENNEDY 641  BARRA DO CEARÁ FORTALEZA - CE CEP:60332170,Católica Apostólica Romana,-3.705.982.999.999.990,-38.579.921,Barra do Ceará,Barra do Ceará,6
35,35,163559-0,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 904  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.533.348,-385.525.215,Damas,Damas,13
36,36,166600-2,ARQUIDIOCESE DE FORTALEZA,R CON DE CASTRO   SN PARANGABA FORTALEZA - CE CEP:60720095,Católica Apostólica Romana,-3.788.065,-385.762.565,Vila Peri,Vila Peri,108
37,37,129834-8,ARQUIDIOCESE DE FORTALEZA,R  ALBERTO FERREIRA 230  IGREJA JARDIM IRACEMA FORTALEZA - CE CEP:60341140,Católica Apostólica Romana,-37.207.074,-385.833.768,Jardim Iracema,Jardim Iracema,21
38,38,163554-9,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 872  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.530.926,-385.523.379,Damas,Damas,13
39,39,295231-9,ARQUIDIOCESE DE FORTALEZA,AV  ALBERTO CRAVEIRO   VAGO BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60860005,Católica Apostólica Romana,-3.801.471.899.999.990,-38.519.528,Castelão,Boa Vista/Castelão,95
40,40,21224-5,ARQUIDIOCESE DE FORTALEZA,R  TIBURCIO CAVALCANTI 15  MEIRELES FORTALEZA - CE CEP:60125100,Católica Apostólica Romana,-3.725.264.699.999.990,-384.991.237,Meireles,Meireles,24
41,41,147513-4,ARQUIDIOCESE DE FORTALEZA,R PRO LINO ENCARNACAO   SN AMADEU FURTADO FORTALEZA - CE CEP:60450235,Católica Apostólica Romana,-37.444.399,-385.600.819,Amadeu Furtado,Amadeu Furtado,4
42,42,205655-0,ARQUIDIOCESE DE FORTALEZA,R  PERDIGAO DE OLIVEIRA 1138  JÓQUEI CLUBE FORTALEZA - CE CEP:60520210,Católica Apostólica Romana,-3.773.913,-385.793.513,Jóquei Clube,Jóquei Clube,101
43,43,68899-1,ARQUIDIOCESE DE FORTALEZA,AV  FILOMENO GOMES   SN MOURA BRASIL FORTALEZA - CE CEP:60010280,Católica Apostólica Romana,-37.193.414,-385.414.654,Moura Brasil,Centro,10
44,44,261744-7,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO ROCHA  EDIFICIO IGREJA JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821140,Católica Apostólica Romana,-37.778.961,-384.989.637,Jardim Das Oliveiras,Engenheiro Luciano Cavalcante,58
45,45,3129-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
46,46,30120-5,ARQUIDIOCESE DE FORTALEZA,AV  13 DE MAIO   SN FÁTIMA FORTALEZA - CE CEP:60040530,Católica Apostólica Romana,-3.750.993.999.999.990,-38.527.244,Fátima,Fátima,16
47,47,1738-8,ARQUIDIOCESE DE FORTALEZA,R COS VIEIRA DA SILVA 349  PARQUELÂNDIA FORTALEZA - CE CEP:60450305,Católica Apostólica Romana,-37.367.432,-3.855.471.989.999.990,Parquelândia,Parquelândia,29
48,48,171409-0,ARQUIDIOCESE DE FORTALEZA,AV  BEIRA MAR 4600  MUCURIPE FORTALEZA - CE CEP:60165121,Católica Apostólica Romana,-3.722.291,-38.480.332,Meireles,Mucuripe,26
49,49,62875-1,ARQUIDIOCESE DE FORTALEZA,R  ANTONIO AUGUSTO 679  MEIRELES FORTALEZA - CE CEP:60110370,Católica Apostólica Romana,-37.265.497,-385.121.346,Meireles,Meireles,24
50,50,3132-1,ARQUIDIOCESE DE FORTALEZA,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,Católica Apostólica Romana,-37.339.469,-385.552.687,São Gerardo,Parquelândia,29
51,51,73939-1,ARQUIDIOCESE DE FORTALEZA,R COD D'EU   SN CENTRO FORTALEZA - CE CEP:60055070,Católica Apostólica Romana,-37.257.166,-385.255.143,Centro,Centro,10
52,52,156811-6,ARQUIDIOCESE DE FORTALEZA,R  RIO ARAGUAIA 1669  JARDIM IRACEMA FORTALEZA - CE CEP:60340000,Católica Apostólica Romana,-37.297.393,-385.822.264,Jardim Iracema,Jardim Iracema,21
53,53,303042-3,ARQUIDIOCESE DE FORTALEZA,AV  WENEFRIDO MELO 88  MONDUBIM FORTALEZA - CE CEP:60762410,Católica Apostólica Romana,-38.090.629,-385.778.905,Mondubim,Mondubim,83
54,54,16438-0,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-37.420.931,-385.405.526,Benfica,Benfica,7
55,55,232665-5,ARQUIDIOCESE DE FORTALEZA,AV  AUDIZIO PINHEIRO   SN JOÃO XXIII FORTALEZA - CE CEP:60526025,Católica Apostólica Romana,-37.665.936,-385.929.898,João XXIII,Henrique Jorge,45
56,56,262291-2,ARQUIDIOCESE DE FORTALEZA,R  JOSE GUILHERME DA COSTA   M.DEUS ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811300,Católica Apostólica Romana,-37.769.581,-3.848.793.149.999.990,Luciano Cavalcante,Engenheiro Luciano Cavalcante,58
57,57,16437-2,ARQUIDIOCESE DE FORTALEZA,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-37.420.931,-385.405.526,Benfica,Benfica,7
58,58,21911-8,ARQUIDIOCESE DE FORTALEZA,R  JOAQUIM NABUCO 176  MEIRELES FORTALEZA - CE CEP:60125120,Católica Apostólica Romana,-37.271,-38.498.635,Meireles,Meireles,24
59,59,163550-6,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3935  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-3.752.752,-38.553.052,Jacarecanga,Damas,13
60,60,86938-4,ARQUIDIOCESE DE FORTALEZA,R NSA DAS GRACAS   SN PIRAMBÚ FORTALEZA - CE CEP:60310770,Católica Apostólica Romana,-37.098.161,-385.542.883,Pirambu,Pirambu,31
61,61,163548-4,ARQUIDIOCESE DE FORTALEZA,R  JOSE BASTOS 3951  DAMAS FORTALEZA - CE CEP:60442108,Católica Apostólica Romana,-37.537.702,-385.538.192,Damas,Damas,13
62,62,163558-1,ARQUIDIOCESE DE FORTALEZA,R  MATOS VASCONCELLOS 900  DAMAS FORTALEZA - CE CEP:60440018,Católica Apostólica Romana,-37.532.555,-385.525.215,Damas,Damas,13
