,razao_social/Contribuinte,CNPJs,Inscricoes_SEFIN
99,SERVICO SOCIAL DO COMERCIO - SESC - AR.CE.,1,1
100,SEMINARIO TEOLOGICO BATISTA DO CEARA,1,1
101,SEMINARIO E INSTITUTO BIBLICO MARANATA,1,1
102,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1,1
103,REDE DE EDUCACAO SMIC,1,1
104,RAFAEL DIOGENES PINHEIRO,1,1
105,PROVINCIA SAO FRANCISCO DAS CHAGAS DO CEARA E PIAUI,1,5
106,PROVINCIA DE FORTALEZA DA CONGREGACAO DA MISSAO,1,1
107,PROVINCIA CAMILIANA BRASILEIRA,1,1
108,PRIMEIRA IGREJA BATISTA EM JOSE WALTER,1,1
109,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,1,6
110,PRIMEIRA IGREJA BATISTA EM JANGURUSSU,1,1
111,PRIMEIRA IGREJA BATISTA DE FORTALEZA,1,3
112,PIA SOCIEDADE FILHAS DE SAO PAULO,1,1
113,ARQUIDIOCESE DE FORTALEZA,1,77
114,PAROQUIA DE SAO PEDRO E SAO PAULO,1,1
115,MITRA ARQUIDIOCESANA DE FORTALEZA,1,24
116,MISSAO BATISTA CONSERVADORA DO BRASIL,1,1
117,MINISTERIO GUERREIROS DE ORACAO,1,2
118,MINISTERIO CANAA DA ASSEMBLEIA DE DEUS NO BRASIL,1,6
119,LEGIAO ESPIRITA FEMININA,1,1
120,LEGIAO DE NOSSA SENHORA RAINHA DOS CORACOES,1,1
121,LECTORIUM ROSICRUCIANUM,1,1
122,LAR DA CRIANCA DOMINGOS SAVIO,1,1
123,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,1,19
124,IGREJA DE CRISTO NO PARQUE ARAXA,1,4
125,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,1,6
126,CHILDFUND BRASIL,1,1
127,COLEGIO IRMA MARIA MONTENEGRO CIMM,1,1
128,COLEGIO SANTO INACIO,1,1
129,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,1,1
130,COMUNIDADE CATOLICA SHALOM,1,3
131,I IGREJA BATISTA EM SAO CRISTOVAO,1,1
132,GRUPO ESPIRITA RAIO DE SOL,1,1
133,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,1,1
134,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1,1
135,GRUPO ESPIRITA BEM-VINDO A CARIDADE,1,1
136,COMUNIDADE CRISTA PEDRA ANGULAR,1,1
137,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1,1
