razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN
GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1,1
IGREJA BATISTA DO CALVARIO DE FORTALEZA,1,1
IGREJA BATISTA RESTAURACAO,1,1
IGREJA BATISTA REGULAR JORDAO,1,1
IGREJA BATISTA MEMORIAL DE FORTALEZA,1,1
IGREJA BATISTA MARANATA DE FORTALEZA,1,1
IGREJA BATISTA MANANCIAL,1,1
IGREJA BATISTA LUZ DO MUNDO,1,2
IGREJA BATISTA ESPERANCA,1,1
IGREJA BATISTA EMANUEL,1,1
ARQUIDIOCESE DE FORTALEZA,1,77
IGREJA BATISTA DO CORDEIRO,1,1
IGREJA BATISTA DE MUCURIPE,1,1
GRUPO ESPIRITA AVE LUZ,1,2
IGREJA BATISTA DE MONTESE,1,1
IGREJA BATISTA CENTRAL DE FORTALEZA,1,1
IGREJA BATISTA BEREIANA,1,1
IGREJA BATISTA ALVORADA,1,3
IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1,1
IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1,1
IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1,1
I IGREJA BATISTA EM SAO CRISTOVAO,1,1
GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1,1
GRUPO ESPIRITA BEM-VINDO A CARIDADE,1,1
IGREJA BATISTA EL SHADAI,1,1
