,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
105,106,304356-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  HONORINO MAIA 555  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,Outras religiosidades,-3.8541661,-38.5017861,Ancuri,Parque Santa Maria,102
106,107,107850-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1665  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,Outras religiosidades,-3.716453,-38.573666,Floresta,Álvaro Weyne,3
107,108,636476-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  PEDRO ESTANISLAU  LOTE 04 QUADRA 19 MESSEJANA FORTALEZA - CE CEP:60840470,Outras religiosidades,-3.8283896,-38.4830413,Messejana,Messejana,65
108,109,159239-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R IR BAZET 150  MONTESE FORTALEZA - CE CEP:60420670,Outras religiosidades,-3.7614068,-38.5561213,Montese,Montese,103
109,110,304357-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L002 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
110,111,18222-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R BAR DE ARACATI 1145  ALDEOTA FORTALEZA - CE CEP:60115081,Outras religiosidades,-3.7318446,-38.5114937,Aldeota,Aldeota,2
111,112,676041-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV FRE CIRILO 4340  MESSEJANA FORTALEZA - CE CEP:60840285,Outras religiosidades,-3.8218308,-38.4958739,Messejana,Messejana,65
112,113,275507-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV CNS GOMES DE FREITAS 3400  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833104,Outras religiosidades,-3.7956999,-38.4763268,Lagoa Sapiranga (Coité),Sapiranga/Coité,64
113,114,291441-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  GENIBAU 183  GENIBAÚ FORTALEZA - CE CEP:60534230,Outras religiosidades,-3.7613641,-38.5973636,João XXIII,Genibaú,44
114,115,274252-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R SAO FRANCISCO 50  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-3.8000637,-38.5981241,Autran Nunes,Bom Jardim,72
115,116,27937-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE AMBROSIO MACHADO 199  PARREÃO FORTALEZA - CE CEP:60410355,Outras religiosidades,-3.7619468,-38.5372486,Vila União,Parreão,30
116,117,304360-6,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030_L005 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
117,118,285613-1,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  WASHINGTON SOARES 8930  MESSEJANA FORTALEZA - CE CEP:60841032,Outras religiosidades,-3.8293008,-38.4825018,Edson Queiroz,Messejana,65
118,119,107851-8,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  FRANCISCO CALACA 1621  IGREJA FLORESTA FORTALEZA - CE CEP:60336045,Outras religiosidades,-3.7161887,-38.5735935,Cristo Redentor,Álvaro Weyne,3
119,120,298617-5,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R  VALPARAISO 830  JANGURUSSU FORTALEZA - CE CEP:60870440,Outras religiosidades,-3.8484077,-38.511885,Conjunto Palmeiras,Jangurussu,61
120,121,304355-0,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  ISABEL BEZERRA   Q030 L013 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873175,Outras religiosidades,-3.854419999999999,-38.5042,Santa Maria,Parque Santa Maria,102
121,122,304359-2,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L004 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
122,123,419126-9,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R PDE PERDIGAO SAMPAIO   PORCA B QUINTINO CUNHA FORTALEZA - CE CEP:60351695,Outras religiosidades,-3.736281,-38.5951604,Quintino Cunha,Quintino Cunha,48
123,124,578777-7,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,AV  BERNARDO MANUEL 11505  AEROPORTO FORTALEZA - CE CEP:60761281,Outras religiosidades,-3.8199383,-38.5575971,Parque Dois Irmãos,Parque Dois Irmãos,84
124,125,304358-4,ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,R CEL JOSE DE MOURA   Q030 L003 PARQUE SANTA MARIA FORTALEZA - CE CEP:60873165,Outras religiosidades,-3.854334,-38.4990505,Santa Maria,Parque Santa Maria,102
125,126,149605-0,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 202  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7387855,-38.5686443,Parquelândia,Parquelândia,29
126,127,149604-2,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 180  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7384255,-38.5685168,Parquelândia,Parquelândia,29
127,128,149603-4,ASSOCIACAO B DAS FILHAS DE SANTANA,R  JOSE DE PONTES 160  PARQUELÂNDIA FORTALEZA - CE CEP:60450042,Católica Apostólica Romana,-3.7382774,-38.5685227,Parquelândia,Parquelândia,29
170,171,234663-0,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,AV SEN FERNANDES TAVORA 2200  DOM LUSTOSA FORTALEZA - CE CEP:60526642,Outras religiosidades,-3.75698,-38.59171,Dom Lustosa,Dom Lustosa,43
171,172,251244-0,ASSOCIACAO BRASILEIRA DA IGREJA JESUS C SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 3900  SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-3.7907843,-38.539306,Serrinha,Itaperi,100
174,176,329100-6,ASSOCIACAO BRASILEIRA IGREJA JESUS CISTO SANTOS ULTIMOS DIAS,AV DR SILAS MUNGUBA 4850  IGREJA SERRINHA FORTALEZA - CE CEP:60714502,Outras religiosidades,-3.7962736,-38.5324786,Serrinha,Itaperi,100
176,178,138074-5,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,R TEN MARQUES 139  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,Católica Apostólica Romana,-3.7322666,-38.5734184,Presidente Kennedy,Presidente Kennedy,33
178,180,74157-4,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,AV  DO IMPERADOR 891  CENTRO FORTALEZA - CE CEP:60015051,Evangélicas,-3.7291017,-38.53487399999999,Centro,Centro,10
179,181,846620-3,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,R  PEDRO I 1120  CENTRO FORTALEZA - CE CEP:60035101,Evangélicas,-3.7292454,-38.534502,Centro,Centro,10
180,182,254138-6,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,R MAD ELISA BALDO (EDUARDO MOTA) 771  SERRINHA FORTALEZA - CE CEP:60741450,Católica Apostólica Romana,-3.7852055,-38.5469933,Serrinha,Serrinha,107
181,183,406930-7,ASSOCIACAO DAS IRMAS MISSIONARIAS,R  ANDALUZIA 785  PEDRAS FORTALEZA - CE CEP:60874610,Católica Apostólica Romana,-3.8865409,-38.5017746,Pedras,Pedras,69
190,192,53994-5,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,R CEL LINHARES 1828  ALDEOTA FORTALEZA - CE CEP:60170075,Católica Apostólica Romana,-3.7427412,-38.4962845,Dionísio Torres,Aldeota,2
191,193,15736-8,ASSOCIACAO DE ASSISTENCIA SOCIAL CATARINA LABOURE AASCL,AV  DA UNIVERSIDADE 3106  BENFICA FORTALEZA - CE CEP:60020181,Católica Apostólica Romana,-3.7426391,-38.5411056,Damas,Benfica,7
192,194,73116-1,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,R  VINTE E CINCO DE MARCO 330  CENTRO FORTALEZA - CE CEP:60060120,Católica Apostólica Romana,-3.727433399999999,-38.52199299999999,Centro,Centro,10
