,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN
96,ASSOCIACAO FACE DE CRISTO,1,2
97,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,1,1
98,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,1,1
99,ESCOLA SAO RAFAEL 1 E 2 GRAUS,1,1
100,FRATERNIDADE DA ORDEM FRANCISCANA SECULAR OFS,1,1
101,GRUPO DE RENOVACAO ESPIRITUAL ALLAN KARDEK,1,1
102,IGREJA BATISTA DO CALVARIO DE FORTALEZA,1,1
103,IGREJA BATISTA RESTAURACAO,1,1
104,IGREJA BATISTA REGULAR JORDAO,1,1
105,IGREJA BATISTA MEMORIAL DE FORTALEZA,1,1
106,IGREJA BATISTA MARANATA DE FORTALEZA,1,1
107,IGREJA BATISTA MANANCIAL,1,1
108,IGREJA BATISTA LUZ DO MUNDO,1,2
109,IGREJA BATISTA ESPERANCA,1,1
110,IGREJA BATISTA EMANUEL,1,1
111,ARQUIDIOCESE DE FORTALEZA,1,77
112,IGREJA BATISTA DO CORDEIRO,1,1
113,IGREJA BATISTA DE MUCURIPE,1,1
114,GRUPO ESPIRITA AVE LUZ,1,2
115,IGREJA BATISTA DE MONTESE,1,1
116,IGREJA BATISTA CENTRAL DE FORTALEZA,1,1
117,IGREJA BATISTA BEREIANA,1,1
118,IGREJA BATISTA ALVORADA,1,3
119,IGREJA AVIVAMENTO PENTECOSTAL DA BIBLIA,1,1
120,IGREJA ASSEMBLEIA DE DEUS NOVO VIVER,1,1
121,IGREJA ASSEMBLEIA DE DEUS MINISTERIO FILADELFIA,1,1
122,I IGREJA BATISTA EM SAO CRISTOVAO,1,1
123,GRUPO ESPIRITA HORIZONTES DA VIDA-GEHV,1,1
124,GRUPO ESPIRITA BEM-VINDO A CARIDADE,1,1
125,IGREJA BATISTA EL SHADAI,1,1
