,razao_social/Contribuinte,Estabelecimentos,Inscricoes_SEFIN,base_origem
169,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,1.0,5.0,Brasil IO
93,INSTITUTO JOSEFINO,1.0,4.0,Base_Tratada
96,UNIAO ESPIRITA CEARENSE,1.0,4.0,Brasil IO
124,IGREJA DE CRISTO NO PARQUE ARAXA,1.0,4.0,Base_Tratada
16,IGREJA BATISTA ALVORADA,1.0,3.0,Base_Tratada
33,CASA DE NAZARE,1.0,3.0,Base_Tratada
67,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,1.0,3.0,Base_Tratada
111,PRIMEIRA IGREJA BATISTA DE FORTALEZA,1.0,3.0,Base_Tratada
185,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,1.0,3.0,Base_Tratada
25,IGREJA BATISTA LUZ DO MUNDO,1.0,2.0,Base_Tratada
30,IGREJA BATISTA REGULAR FILADELFIA,1.0,2.0,Brasil IO
47,GRUPO ESPIRITA AVE LUZ,1.0,2.0,Base_Tratada
52,IGREJA EVANGELICA TABERNACULO DO AVIVAMENTO,1.0,2.0,Base_Tratada
69,IGREJA TENRIKYO CENTRAL DE FORTALEZA,1.0,2.0,Base_Tratada
73,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,1.0,2.0,Base_Tratada
74,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,1.0,2.0,Base_Tratada
75,IGREJA PRESBITERIANA DE FORTALEZA,1.0,2.0,Base_Tratada
87,IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,1.0,2.0,Receita
161,IGREJA CRISTA GILEADE PARANGABA,1.0,2.0,Base_Tratada
164,ASSOCIACAO FACE DE CRISTO,1.0,2.0,Base_Tratada
165,ASSOCIACAO JESUS E MARIA,1.0,2.0,Base_Tratada
184,ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,1.0,2.0,Brasil IO
3,IGREJA BATISTA ESPERANCA,1.0,1.0,Base_Tratada
4,IGREJA BATISTA MANANCIAL,1.0,1.0,Base_Tratada
7,IGREJA BATISTA EMANUEL,1.0,1.0,Base_Tratada
9,CENTRO ESPIRITA CASA DO CAMINHO,1.0,1.0,Base_Tratada
13,CENTRO ESPIRITA JOAO BATISTA,1.0,1.0,Brasil IO
15,IGREJA BATISTA RESTAURACAO,1.0,1.0,Base_Tratada
17,IGREJA BATISTA EL SHADAI,1.0,1.0,Base_Tratada
18,IGREJA EVANGELICA TABERNACULO DA FE,1.0,1.0,Base_Tratada
19,INSTITUTO BOM PASTOR,1.0,1.0,Brasil IO
