,razao_social,0
9,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,1
6,ASSOC BRAS DA IGREJA DE JESUS CRISTO DOS SANTOS DOS ULT DIAS,1
4,ANTONIO NEUTON OLIVEIRA,1
2,ALFA 2 SPE EMPREENDIMENTO IMOBILIARIO LTDA,1
36,CENTRO JUVENIL DOM BOSCO,1
38,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,1
72,IGREJA BIBLICA DO SITIO BOATAN,1
57,DIOCESE DE TIANGUA,1
69,IGREJA BATISTA INDEPENDENTE,1
68,IGREJA BATISTA DE PORANGABUCU,1
67,IGREJA BATISTA DE MONTE CASTELO,1
66,IGREJA ASSEMBLEIA DE DEUS MINISTERIO DEUS E FIEL,1
64,FRANCISCO SANDRO MARTINS,1
63,FRANCISCO DE ASSIS OLIVEIRA,1
62,FRANCISCA CARNEIRO DE SOUZA,1
61,FRANCILEIDE NASCIMENTO DE CASTRO,1
60,ESPÓLIO DE THEODORO DE CASTRO MOURA,1
59,ESPOLIO DE FRANCISCO PEREIRA DE ALMEIDA,1
58,EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA,1
53,CONSELHO COMUNITARIO JARDIM GUANABARA,1
39,COLEGIO BATISTA SANTOS DUMONT,1
52,CONSELHO CENTRAL DE FORTALEZA DA SOC DE S VICENTE DE PAULO,1
51,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,1
50,CONGREGACAO FILHAS DE SANTA ANA,1
49,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,1
46,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,1
45,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,1
44,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,1
43,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,1
42,COMBONIANOS NORDESTE,1
41,COLEGIO SANTO INACIO,1
40,COLEGIO IRMA MARIA MONTENEGRO CIMM,1
65,FUNDACAO BEZERRA DE MENEZES,1
